8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
8.5581,8.47485,,5327.47608,5327.64591,,8.5581,8.47485,0.0832499997898193,0.006930562
8.60805,8.5581,,5327.01099,5327.47608,,8.60805,8.5581,0.0499500001893711,0.002495003
8.69019,8.60805,,5326.71684,5327.01099,,8.69019,8.60805,0.0821400000923198,0.00674698
8.67465,8.69019,,5326.72794,5326.71684,,8.67465,8.69019,-0.0155400001027299,0.000241492
8.15628,8.67465,,5326.14741,5326.72794,,8.15628,8.67465,-0.51836999990585,0.268707457
8.37162,8.15628,,5325.74559,5326.14741,,8.37162,8.15628,0.21534000007151,0.046371316
8.21622,8.37162,,5325.60684,5325.74559,,8.21622,8.37162,-0.155400000238609,0.02414916
8.13852,8.21622,,5325.99645,5325.60684,,8.13852,8.21622,-0.0777000001193109,0.00603729
8.27838,8.13852,,5325.70896,5325.99645,,8.27838,8.13852,0.139860000530231,0.01956082
8.19957,8.27838,,5325.74559,5325.70896,,8.19957,8.27838,-0.0788100002111509,0.006211016
8.21511,8.19957,,5325.70341,5325.74559,,8.21511,8.19957,0.0155399997083805,0.000241492
8.2362,8.21511,,5325.68121,5325.70341,,8.2362,8.21511,0.0210900001675896,0.000444788
8.23287,8.2362,,5325.67011,5325.68121,,8.23287,8.2362,-0.00332999988116889,1.10889E-05
8.23731,8.23287,,5325.66789,5325.67011,,8.23731,8.23287,0.00443999997301958,1.97136E-05
8.23842,8.23731,,5325.66567,5325.66789,,8.23842,8.23731,0.00110999969749059,1.2321E-06
8.0697,8.23842,,5325.56355,5325.66567,,8.0697,8.23842,-0.168719999763312,0.028466438
7.40037,8.0697,,5325.7689,5325.56355,,7.40037,8.0697,-0.669330000171449,0.448002649
7.08624,7.40037,,5325.46143,5325.7689,,7.08624,7.40037,-0.314129999964051,0.098677657
7.47807,7.08624,,5325.13065,5325.46143,,7.47807,7.08624,0.391830000083361,0.153530749
7.84992,7.47807,,5325.19392,5325.13065,,7.84992,7.47807,0.37185000000761,0.138272423
7.87767,7.84992,,5325.13065,5325.19392,,7.87767,7.84992,0.0277499999299398,0.000770062
8.03529,7.87767,,5325.3693,5325.13065,,8.03529,7.87767,0.15762000002795,0.024844064
8.10078,8.03529,,5325.42924,5325.3693,,8.10078,8.03529,0.0654900002921011,0.00428894
9.17193,8.10078,,5326.83339,5325.42924,,9.17193,8.10078,1.07114999989832,1.147362322
8.96436,9.17193,,5326.03419,5326.83339,,8.96436,9.17193,-0.207570000217309,0.043085305
9.65478,8.96436,,5325.71673,5326.03419,,9.65478,8.96436,0.69041999994468,0.476679776
9.60483,9.65478,,5326.02309,5325.71673,,9.60483,9.65478,-0.0499499997950199,0.002495002
9.85347,9.60483,,5326.55922,5326.02309,,9.85347,9.60483,0.248640000066299,0.06182185
