type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-03-08 16:27:20,30.29823422,78.06780277,8,611.000,,6.790,121,20,34,20190308-215720,GPS Logger: 20190308-215720
T,2019-03-08 16:27:21,30.29820763,78.06787511,6,609.000,,7.340,116,20,34,,
T,2019-03-08 16:27:22,30.29818630,78.06794253,8,613.000,,8.450,113,21,35,,
T,2019-03-08 16:27:23,30.29812696,78.06807137,5,605.000,,9.250,113,21,35,,
T,2019-03-08 16:27:24,30.29811661,78.06817236,5,604.000,,9.750,106,21,35,,
T,2019-03-08 16:27:25,30.29809455,78.06828762,5,604.000,,11.650,102,21,35,,
T,2019-03-08 16:27:26,30.29810072,78.06840040,5,603.000,,11.100,94,23,35,,
T,2019-03-08 16:27:27,30.29810818,78.06851100,5,602.000,,11.400,93,23,35,,
T,2019-03-08 16:27:28,30.29810748,78.06863472,5,602.000,,11.720,92,23,35,,
T,2019-03-08 16:27:29,30.29810887,78.06875991,5,601.000,,11.760,93,23,35,,
T,2019-03-08 16:27:30,30.29809292,78.06888697,5,600.000,,11.200,93,24,35,,
T,2019-03-08 16:27:31,30.29807313,78.06899373,5,599.000,,10.300,97,24,35,,
T,2019-03-08 16:27:32,30.29807607,78.06908980,6,598.000,,9.470,90,24,35,,
T,2019-03-08 16:27:33,30.29809104,78.06918538,6,598.000,,9.460,89,24,35,,
T,2019-03-08 16:27:34,30.29808447,78.06929538,9,597.000,,9.640,91,24,35,,
T,2019-03-08 16:27:35,30.29806674,78.06939748,9,597.000,,9.470,95,26,35,,
T,2019-03-08 16:27:36,30.29805416,78.06948259,9,597.000,,8.850,96,25,35,,
T,2019-03-08 16:27:37,30.29806518,78.06954531,8,598.000,,7.520,92,25,35,,
T,2019-03-08 16:27:38,30.29806636,78.06961141,6,598.000,,6.940,94,25,36,,
T,2019-03-08 16:27:39,30.29806069,78.06967340,6,599.000,,6.180,95,25,36,,
T,2019-03-08 16:27:40,30.29803998,78.06975471,6,598.000,,6.410,95,24,36,,
T,2019-03-08 16:27:41,30.29803790,78.06983348,5,598.000,,6.650,88,27,36,,
T,2019-03-08 16:27:42,30.29804116,78.06990472,5,599.000,,5.960,87,27,36,,
T,2019-03-08 16:27:43,30.29803666,78.06996107,5,599.000,,5.340,89,27,36,,
T,2019-03-08 16:27:44,30.29804302,78.07001263,5,601.000,,4.970,80,27,36,,
T,2019-03-08 16:27:45,30.29805032,78.07007319,5,600.000,,5.250,80,27,36,,
T,2019-03-08 16:27:46,30.29805312,78.07014004,5,599.000,,5.850,81,27,36,,
T,2019-03-08 16:27:47,30.29805975,78.07021051,5,600.000,,6.470,81,28,36,,
T,2019-03-08 16:27:48,30.29806325,78.07029903,5,601.000,,7.240,81,27,36,,
T,2019-03-08 16:27:49,30.29808242,78.07037682,5,602.000,,7.770,77,27,36,,
T,2019-03-08 16:27:50,30.29809940,78.07047568,5,603.000,,8.530,78,29,36,,
T,2019-03-08 16:27:51,30.29811824,78.07058697,5,601.000,,9.900,77,29,36,,
T,2019-03-08 16:27:52,30.29813888,78.07068773,5,601.000,,10.150,77,28,35,,
T,2019-03-08 16:27:53,30.29816023,78.07080327,5,602.000,,10.910,79,28,36,,
T,2019-03-08 16:27:54,30.29818424,78.07091874,6,602.000,,11.050,78,28,36,,
T,2019-03-08 16:27:55,30.29821092,78.07104427,6,603.000,,11.520,77,28,36,,
T,2019-03-08 16:27:56,30.29824468,78.07118541,5,603.000,,12.450,78,29,36,,
T,2019-03-08 16:27:57,30.29827984,78.07132539,5,603.000,,13.050,76,29,36,,
T,2019-03-08 16:27:58,30.29831226,78.07147366,5,604.000,,13.240,76,29,36,,
T,2019-03-08 16:27:59,30.29833989,78.07161337,6,604.000,,13.400,77,29,36,,
T,2019-03-08 16:28:00,30.29835767,78.07173150,6,603.000,,12.830,78,28,36,,
T,2019-03-08 16:28:01,30.29838220,78.07185597,8,602.000,,12.490,76,28,36,,
T,2019-03-08 16:28:02,30.29839356,78.07192701,6,602.000,,10.580,79,28,36,,
T,2019-03-08 16:28:03,30.29840957,78.07204607,6,601.000,,11.100,79,28,36,,
T,2019-03-08 16:28:04,30.29843151,78.07216958,6,601.000,,11.420,77,28,36,,
T,2019-03-08 16:28:05,30.29845421,78.07228928,6,601.000,,11.750,75,28,36,,
T,2019-03-08 16:28:06,30.29849558,78.07241813,5,602.000,,12.420,70,28,36,,
T,2019-03-08 16:28:07,30.29853799,78.07253781,5,603.000,,12.520,68,28,36,,
T,2019-03-08 16:28:08,30.29857724,78.07265717,5,602.000,,13.000,66,28,36,,
T,2019-03-08 16:28:09,30.29862322,78.07278293,5,603.000,,13.300,66,27,36,,
T,2019-03-08 16:28:10,30.29867785,78.07291421,5,603.000,,13.550,65,28,36,,
T,2019-03-08 16:28:11,30.29872868,78.07304409,5,603.000,,13.540,65,28,35,,
T,2019-03-08 16:28:12,30.29878016,78.07317457,5,603.000,,13.550,65,27,36,,
T,2019-03-08 16:28:13,30.29883570,78.07330032,5,604.000,,13.780,65,27,36,,
T,2019-03-08 16:28:14,30.29888331,78.07341051,5,605.000,,12.110,63,28,36,,
T,2019-03-08 16:28:15,30.29891732,78.07351035,5,605.000,,10.140,67,28,36,,
T,2019-03-08 16:28:16,30.29894487,78.07357871,5,605.000,,7.930,65,28,36,,
T,2019-03-08 16:28:17,30.29897405,78.07365355,5,605.000,,8.050,65,27,36,,
T,2019-03-08 16:28:18,30.29900575,78.07373277,5,605.000,,8.620,65,26,36,,
T,2019-03-08 16:28:19,30.29904036,78.07381866,5,605.000,,9.120,65,26,36,,
T,2019-03-08 16:28:20,30.29907424,78.07390171,5,606.000,,9.140,65,25,36,,
T,2019-03-08 16:28:21,30.29910232,78.07397440,5,607.000,,8.000,65,24,36,,
T,2019-03-08 16:28:22,30.29911993,78.07402493,5,607.000,,6.330,68,26,35,,
