index,stop points,type,time,latitude,longitude,accuracy (m),altitude (m),speed (m/s),bearing (deg),sat_used,sat_inview
1,0,T,11/15/2018 2:58,30.29047091,78.10294919,5,599,0.25,14,25,33
2,0,T,11/15/2018 2:58,30.29046787,78.10294681,5,601,0,,25,33
3,0,T,11/15/2018 2:58,30.29046862,78.10294528,5,601,0,,26,33
4,0,T,11/15/2018 2:58,30.29046907,78.10294109,5,601,0,,26,33
5,0,T,11/15/2018 2:58,30.29046981,78.10293844,5,601,0,,26,33
6,0,T,11/15/2018 2:58,30.29046967,78.10293854,5,601,0,,26,33
7,0,T,11/15/2018 2:58,30.290465,78.10293331,5,603,0,,8,32
8,0,T,11/15/2018 2:58,30.29046694,78.10292969,14,603,0,,16,32
9,0,T,11/15/2018 2:58,30.29046554,78.10292844,14,603,0,,18,32
10,0,T,11/15/2018 2:58,30.29046484,78.10293195,14,604,0,,18,32
11,0,T,11/15/2018 2:58,30.2904661,78.10292936,14,603,0,,18,32
12,0,T,11/15/2018 2:58,30.29046539,78.10292969,14,603,0,,18,32
13,0,T,11/15/2018 2:58,30.29046553,78.10292931,14,603,0,,18,32
14,0,T,11/15/2018 2:58,30.29046572,78.10292911,14,603,0,,18,32
15,0,T,11/15/2018 2:58,30.29046569,78.10292901,14,603,0,,18,32
16,0,T,11/15/2018 2:58,30.29046573,78.10292899,14,603,0,,24,32
17,0,T,11/15/2018 2:58,30.29046574,78.10292897,14,604,0,,24,32
18,0,T,11/15/2018 2:58,30.29046422,78.10292805,14,604,0,,25,32
19,0,T,11/15/2018 2:58,30.29045819,78.1029299,14,605,0.32,171,27,32
20,0,T,11/15/2018 2:58,30.29045536,78.10292713,14,605,0,,28,32
21,0,T,11/15/2018 2:58,30.29045889,78.10292415,14,605,0,,28,32
22,0,T,11/15/2018 2:58,30.29046224,78.10292472,14,605,0,,28,32
23,0,T,11/15/2018 2:58,30.29046249,78.10292415,14,605,0,,28,32
24,0,T,11/15/2018 2:58,30.29046391,78.1029263,14,605,0,,28,32
25,0,T,11/15/2018 2:58,30.2904645,78.10292684,14,605,0,,28,32
26,0,T,11/15/2018 2:58,30.29047415,78.10293949,14,607,0,,28,32
27,0,T,11/15/2018 2:59,30.29047228,78.10293229,14,607,0.34,297,28,32
28,0,T,11/15/2018 2:59,30.2904785,78.10292943,14,608,0,,28,32
29,0,T,11/15/2018 2:59,30.29047805,78.10293219,14,605,0,,28,32
30,0,T,11/15/2018 2:59,30.29048029,78.10293702,14,607,0,,28,32
31,0,T,11/15/2018 2:59,30.29048374,78.10294077,14,608,0,,28,32
