type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-02 02:47:46,30.29162033,78.10287984,5,610.000,,2.590,199,24,38,20190402-081746,GPS Logger: 20190402-081746
T,2019-04-02 02:47:47,30.29159125,78.10288480,5,610.000,,3.120,173,24,38,,
T,2019-04-02 02:47:48,30.29156177,78.10289779,5,610.000,,3.520,159,24,38,,
T,2019-04-02 02:47:49,30.29152867,78.10292352,5,610.000,,4.660,148,24,38,,
T,2019-04-02 02:47:50,30.29149420,78.10298494,5,610.000,,4.920,137,23,38,,
T,2019-04-02 02:47:51,30.29145769,78.10302324,5,610.000,,4.990,137,23,38,,
T,2019-04-02 02:47:52,30.29142386,78.10305753,5,610.000,,4.810,138,23,38,,
T,2019-04-02 02:47:53,30.29138746,78.10309246,5,611.000,,4.870,138,23,38,,
T,2019-04-02 02:47:54,30.29134863,78.10312699,5,611.000,,5.150,142,24,38,,
T,2019-04-02 02:47:55,30.29131308,78.10316393,5,611.000,,5.060,139,24,38,,
T,2019-04-02 02:47:56,30.29127409,78.10319881,5,610.000,,5.460,140,23,38,,
T,2019-04-02 02:47:57,30.29123404,78.10323238,5,610.000,,5.440,142,24,38,,
T,2019-04-02 02:47:58,30.29119143,78.10326793,5,610.000,,5.660,146,24,38,,
T,2019-04-02 02:47:59,30.29115404,78.10330575,5,610.000,,5.610,142,24,38,,
T,2019-04-02 02:48:00,30.29110991,78.10334319,5,610.000,,5.740,142,24,39,,
T,2019-04-02 02:48:01,30.29107708,78.10337476,5,610.000,,5.830,140,15,25,,
T,2019-04-02 02:48:02,30.29103513,78.10341033,5,610.000,,5.790,141,15,25,,
T,2019-04-02 02:48:03,30.29099646,78.10343912,5,610.000,,5.240,145,13,25,,
T,2019-04-02 02:48:04,30.29095571,78.10346252,5,610.000,,4.560,158,13,23,,
T,2019-04-02 02:48:05,30.29091762,78.10347324,5,609.000,,4.300,185,15,24,,
T,2019-04-02 02:48:06,30.29088229,78.10345479,5,609.000,,4.390,218,15,24,,
T,2019-04-02 02:48:07,30.29085957,78.10342328,5,611.000,,4.810,226,15,23,,
T,2019-04-02 02:48:08,30.29083080,78.10338312,5,610.000,,5.460,233,14,23,,
T,2019-04-02 02:48:09,30.29080079,78.10333562,5,610.000,,5.720,236,14,23,,
T,2019-04-02 02:48:10,30.29077092,78.10328880,5,610.000,,5.440,235,13,22,,
