index,type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
1,T,3/8/2019 16:27,30.29823422,78.06780277,8,611,,6.79,121,20,34,20190308-215720,GPS Logger: 20190308-215720
2,T,3/8/2019 16:27,30.29820763,78.06787511,6,609,,7.34,116,20,34,,
3,T,3/8/2019 16:27,30.2981863,78.06794253,8,613,,8.45,113,21,35,,
4,T,3/8/2019 16:27,30.29812696,78.06807137,5,605,,9.25,113,21,35,,
5,T,3/8/2019 16:27,30.29811661,78.06817236,5,604,,9.75,106,21,35,,
6,T,3/8/2019 16:27,30.29809455,78.06828762,5,604,,11.65,102,21,35,,
7,T,3/8/2019 16:27,30.29810072,78.0684004,5,603,,11.1,94,23,35,,
8,T,3/8/2019 16:27,30.29810818,78.068511,5,602,,11.4,93,23,35,,
9,T,3/8/2019 16:27,30.29810748,78.06863472,5,602,,11.72,92,23,35,,
10,T,3/8/2019 16:27,30.29810887,78.06875991,5,601,,11.76,93,23,35,,
11,T,3/8/2019 16:27,30.29809292,78.06888697,5,600,,11.2,93,24,35,,
12,T,3/8/2019 16:27,30.29807313,78.06899373,5,599,,10.3,97,24,35,,
13,T,3/8/2019 16:27,30.29807607,78.0690898,6,598,,9.47,90,24,35,,
14,T,3/8/2019 16:27,30.29809104,78.06918538,6,598,,9.46,89,24,35,,
15,T,3/8/2019 16:27,30.29808447,78.06929538,9,597,,9.64,91,24,35,,
16,T,3/8/2019 16:27,30.29806674,78.06939748,9,597,,9.47,95,26,35,,
17,T,3/8/2019 16:27,30.29805416,78.06948259,9,597,,8.85,96,25,35,,
18,T,3/8/2019 16:27,30.29806518,78.06954531,8,598,,7.52,92,25,35,,
19,T,3/8/2019 16:27,30.29806636,78.06961141,6,598,,6.94,94,25,36,,
20,T,3/8/2019 16:27,30.29806069,78.0696734,6,599,,6.18,95,25,36,,
21,T,3/8/2019 16:27,30.29803998,78.06975471,6,598,,6.41,95,24,36,,
22,T,3/8/2019 16:27,30.2980379,78.06983348,5,598,,6.65,88,27,36,,
23,T,3/8/2019 16:27,30.29804116,78.06990472,5,599,,5.96,87,27,36,,
24,T,3/8/2019 16:27,30.29803666,78.06996107,5,599,,5.34,89,27,36,,
25,T,3/8/2019 16:27,30.29804302,78.07001263,5,601,,4.97,80,27,36,,
26,T,3/8/2019 16:27,30.29805032,78.07007319,5,600,,5.25,80,27,36,,
27,T,3/8/2019 16:27,30.29805312,78.07014004,5,599,,5.85,81,27,36,,
28,T,3/8/2019 16:27,30.29805975,78.07021051,5,600,,6.47,81,28,36,,
29,T,3/8/2019 16:27,30.29806325,78.07029903,5,601,,7.24,81,27,36,,
30,T,3/8/2019 16:27,30.29808242,78.07037682,5,602,,7.77,77,27,36,,
31,T,3/8/2019 16:27,30.2980994,78.07047568,5,603,,8.53,78,29,36,,
32,T,3/8/2019 16:27,30.29811824,78.07058697,5,601,,9.9,77,29,36,,
33,T,3/8/2019 16:27,30.29813888,78.07068773,5,601,,10.15,77,28,35,,
34,T,3/8/2019 16:27,30.29816023,78.07080327,5,602,,10.91,79,28,36,,
