index,type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
1,T,3/8/2019 10:59,30.38480011,78.07444892,17,797,,9.96,171,20,33,20190308-162933,GPS Logger: 20190308-162933
2,T,3/8/2019 10:59,30.38470345,78.07446783,15,797,,10.3,170,22,33,,
3,T,3/8/2019 10:59,30.38456011,78.07447581,15,796,,10.77,172,23,33,,
4,T,3/8/2019 10:59,30.38450234,78.07451185,14,799,,10.33,169,23,33,,
5,T,3/8/2019 10:59,30.38439567,78.07452268,14,797,,9.9,171,23,33,,
6,T,3/8/2019 10:59,30.38429714,78.07454505,14,797,,10.36,169,26,33,,
7,T,3/8/2019 10:59,30.38420298,78.07454728,14,796,,10.27,173,26,33,,
8,T,3/8/2019 10:59,30.38409755,78.07456173,14,797,,10.79,172,26,33,,
9,T,3/8/2019 10:59,30.38399219,78.07457098,14,797,,10.72,175,26,33,,
10,T,3/8/2019 10:59,30.38389034,78.0745714,15,797,,10.78,176,26,33,,
11,T,3/8/2019 10:59,30.38379127,78.07459394,15,796,,10.91,175,26,33,,
12,T,3/8/2019 10:59,30.38367009,78.07460445,15,795,,11.43,175,26,33,,
13,T,3/8/2019 10:59,30.38357501,78.07461232,15,795,,10.9,174,26,33,,
14,T,3/8/2019 10:59,30.38345719,78.07461069,15,796,,10.78,178,26,33,,
15,T,3/8/2019 10:59,30.38335707,78.07462363,15,796,,10.69,177,26,33,,
16,T,3/8/2019 10:59,30.38323575,78.07463792,15,796,,11.24,178,26,33,,
17,T,3/8/2019 10:59,30.38311949,78.07466847,15,794,,11.27,175,26,33,,
18,T,3/8/2019 10:59,30.38299693,78.07467456,17,794,,11.54,175,27,33,,
19,T,3/8/2019 10:59,30.38292553,78.07466754,17,793,,10.68,176,27,33,,
20,T,3/8/2019 10:59,30.3828094,78.07468183,17,792,,11.18,174,28,33,,
21,T,3/8/2019 10:59,30.38270879,78.07470576,17,792,,10.64,175,28,33,,
22,T,3/8/2019 10:59,30.38260731,78.0747313,17,791,,10.16,178,28,33,,
23,T,3/8/2019 10:59,30.382539,78.07471529,17,789,,8.88,188,26,33,,
24,T,3/8/2019 10:59,30.38248494,78.07469904,17,789,,8.4,189,26,33,,
25,T,3/8/2019 10:59,30.38242904,78.07468058,17,788,,7.83,192,25,33,,
