type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-03-26 02:42:17,30.29250392,78.10388016,6,600.000,,2.120,61,24,34,20190326-081217,GPS Logger: 20190326-081217
T,2019-03-26 02:42:18,30.29249811,78.10389321,5,602.000,,2.670,78,24,34,,
T,2019-03-26 02:42:19,30.29249773,78.10392762,5,607.000,,2.230,82,23,34,,
T,2019-03-26 02:42:20,30.29249086,78.10394933,5,609.000,,2.120,87,24,34,,
T,2019-03-26 02:42:21,30.29247560,78.10399675,5,605.000,,3.020,103,25,34,,
T,2019-03-26 02:42:22,30.29244599,78.10402703,5,605.000,,4.110,132,25,34,,
T,2019-03-26 02:42:23,30.29240242,78.10406384,5,606.000,,5.320,139,25,34,,
T,2019-03-26 02:42:24,30.29235334,78.10409872,5,605.000,,6.030,146,25,35,,
T,2019-03-26 02:42:25,30.29230749,78.10413898,5,604.000,,6.390,142,26,35,,
T,2019-03-26 02:42:26,30.29225845,78.10417106,5,604.000,,6.840,145,26,35,,
T,2019-03-26 02:42:27,30.29220146,78.10420624,5,604.000,,7.090,146,26,35,,
T,2019-03-26 02:42:28,30.29215397,78.10425393,5,604.000,,6.560,143,26,35,,
T,2019-03-26 02:42:29,30.29211168,78.10428911,5,604.000,,5.530,142,12,21,,
T,2019-03-26 02:42:30,30.29207484,78.10431255,5,603.000,,5.050,140,12,21,,
T,2019-03-26 02:42:31,30.29204825,78.10434194,5,604.000,,3.780,132,13,21,,
T,2019-03-26 02:42:32,30.29202556,78.10436895,5,604.000,,3.200,130,13,21,,
T,2019-03-26 02:42:33,30.29201555,78.10439027,5,604.000,,2.360,128,13,21,,
T,2019-03-26 02:42:34,30.29200398,78.10441610,5,605.000,,2.400,126,10,17,,
T,2019-03-26 02:42:35,30.29198253,78.10443421,5,605.000,,2.910,144,10,20,,
T,2019-03-26 02:42:36,30.29196041,78.10442839,5,606.000,,3.870,172,15,21,,
T,2019-03-26 02:42:37,30.29191433,78.10438930,5,604.000,,5.700,202,11,18,,
T,2019-03-26 02:42:38,30.29186238,78.10437900,5,606.000,,6.160,207,11,19,,
T,2019-03-26 02:42:39,30.29182449,78.10432792,5,605.000,,6.170,228,11,19,,
T,2019-03-26 02:42:40,30.29178799,78.10429164,5,606.000,,6.000,230,12,20,,
T,2019-03-26 02:42:41,30.29175454,78.10424635,5,606.000,,5.920,233,13,20,,
T,2019-03-26 02:42:42,30.29172500,78.10420037,5,606.000,,5.880,233,12,20,,
T,2019-03-26 02:42:43,30.29169345,78.10414798,5,606.000,,5.890,234,14,21,,
T,2019-03-26 02:42:44,30.29165867,78.10409143,5,606.000,,5.940,234,15,21,,
T,2019-03-26 02:42:45,30.29162802,78.10404751,5,606.000,,5.650,234,15,21,,
T,2019-03-26 02:42:46,30.29159725,78.10400979,5,607.000,,5.090,230,13,21,,
T,2019-03-26 02:42:47,30.29156537,78.10397137,5,607.000,,4.660,221,13,21,,
T,2019-03-26 02:42:48,30.29153339,78.10395296,5,607.000,,4.410,204,11,19,,
