type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2018-12-22 10:31:43,30.39570526,78.07573221,17,849.000,,2.640,209,16,32,,Pestle weed clg
W,2018-12-22 10:33:19,30.39005932,78.07422489,5,816.000,,4.170,124,24,30,,Deer Park Large
W,2018-12-22 10:37:57,30.37194642,78.07741929,14,782.000,,1.150,180,21,29,,Diversion
W,2018-12-22 10:39:44,30.36816391,78.07322061,14,767.000,,2.540,222,22,29,,Inderbaba
W,2018-12-22 10:40:30,30.36569055,78.07080607,6,755.000,,1.050,213,24,29,,Pacific
W,2018-12-22 10:40:56,30.36410640,78.06945339,15,752.000,,6.110,221,16,28,,Jakhan Petrol pump
W,2018-12-22 10:41:54,30.36159198,78.06769417,11,737.000,,3.230,204,10,16,,Jakhan
W,2018-12-22 10:42:23,30.36008504,78.06736323,5,727.000,,1.160,189,15,30,,Jakhan Kaanta
W,2018-12-22 10:43:56,30.35317088,78.06333122,14,710.000,,0.000,,25,29,,Nivh
W,2018-12-22 10:44:46,30.34885932,78.06248714,14,694.000,,0.000,,23,29,,Aketa hotel
W,2018-12-22 10:45:56,30.34484144,78.06177715,5,685.000,,4.530,196,25,30,,Navy Headquarters
W,2018-12-22 10:46:42,30.34264400,78.06097862,6,681.000,,1.690,185,24,30,,Silver ity
W,2018-12-22 10:47:03,30.34153668,78.06077126,14,676.000,,4.550,200,25,30,,Honda service centre
W,2018-12-22 10:48:17,30.33853584,78.05877772,14,669.000,,0.760,220,25,30,,Madhuban Hotel
W,2018-12-22 10:50:12,30.33645095,78.05551969,6,663.000,,0.000,,9,18,,Dilaram BS
W,2018-12-22 10:51:02,30.33517207,78.05391460,9,659.000,,0.750,236,9,16,,Traffic LiGht Dilaram
W,2018-12-22 10:52:29,30.33466927,78.05297102,14,657.000,,0.000,,21,31,,Traffic Light Dilaram 2
W,2018-12-22 10:53:56,30.33368502,78.05163012,15,645.000,,0.800,230,26,30,,KFC
T,2018-12-22 10:30:14,30.40088885,78.07881574,5,879.000,,1.160,143,26,34,20181222-160014,GPS Logger: 20181222-160014
T,2018-12-22 10:30:15,30.40088036,78.07883057,5,879.000,,1.160,137,26,34,,
T,2018-12-22 10:30:16,30.40086775,78.07884563,5,878.000,,1.160,131,27,34,,
T,2018-12-22 10:30:17,30.40085563,78.07885725,5,878.000,,1.160,150,27,34,,
T,2018-12-22 10:30:18,30.40084366,78.07886763,5,879.000,,1.160,154,26,34,,
T,2018-12-22 10:30:19,30.40083277,78.07887378,6,878.000,,1.160,168,26,34,,
T,2018-12-22 10:30:20,30.40084101,78.07886598,8,879.000,,1.160,338,26,34,,
T,2018-12-22 10:30:21,30.40084554,78.07887302,6,879.000,,1.160,107,26,34,,
T,2018-12-22 10:30:22,30.40083888,78.07888620,6,879.000,,1.160,166,26,34,,
T,2018-12-22 10:30:23,30.40082816,78.07889112,6,879.000,,1.160,144,26,34,,
T,2018-12-22 10:30:24,30.40082063,78.07890518,6,879.000,,1.160,112,26,34,,
T,2018-12-22 10:30:25,30.40081675,78.07891808,6,878.000,,1.160,75,26,34,,
T,2018-12-22 10:30:26,30.40081632,78.07893257,6,878.000,,1.160,53,26,34,,
T,2018-12-22 10:30:27,30.40080055,78.07895337,8,877.000,,1.160,121,26,34,,
T,2018-12-22 10:30:28,30.40077533,78.07896910,6,876.000,,0.310,142,26,34,,
T,2018-12-22 10:30:29,30.40073618,78.07898909,6,876.000,,1.160,142,26,34,,
T,2018-12-22 10:30:30,30.40068988,78.07900808,8,877.000,,1.160,152,26,34,,
T,2018-12-22 10:30:31,30.40042100,78.07915248,6,874.000,,6.730,160,26,34,,
T,2018-12-22 10:30:32,30.40035231,78.07915769,6,871.000,,7.640,166,26,34,,
T,2018-12-22 10:30:33,30.40027070,78.07915851,5,870.000,,8.590,172,26,34,,
T,2018-12-22 10:30:34,30.40019087,78.07916077,6,870.000,,8.620,174,26,34,,
T,2018-12-22 10:30:35,30.40009600,78.07915169,6,869.000,,8.780,178,26,34,,
T,2018-12-22 10:30:36,30.40002572,78.07914687,6,869.000,,8.310,180,26,34,,
T,2018-12-22 10:30:37,30.39995587,78.07918041,8,869.000,,7.840,175,26,34,,
T,2018-12-22 10:30:38,30.39985937,78.07917839,5,869.000,,8.830,178,27,34,,
T,2018-12-22 10:30:39,30.39978803,78.07918832,5,870.000,,7.830,180,27,34,,
T,2018-12-22 10:30:40,30.39972587,78.07918774,5,871.000,,7.260,180,27,34,,
T,2018-12-22 10:30:41,30.39965349,78.07917518,5,871.000,,7.580,186,27,34,,
T,2018-12-22 10:30:42,30.39958212,78.07916123,5,870.000,,7.910,191,26,34,,
T,2018-12-22 10:30:43,30.39948932,78.07913277,5,869.000,,8.040,198,16,22,,
T,2018-12-22 10:30:44,30.39941569,78.07907666,5,868.000,,8.300,206,13,23,,
T,2018-12-22 10:30:45,30.39934642,78.07902224,5,868.000,,8.850,210,10,18,,
T,2018-12-22 10:30:46,30.39927542,78.07899093,5,868.000,,8.580,203,9,21,,
T,2018-12-22 10:30:47,30.39920436,78.07895578,6,868.000,,8.570,203,9,21,,
T,2018-12-22 10:30:48,30.39912327,78.07889534,5,866.000,,9.120,209,10,19,,
T,2018-12-22 10:30:49,30.39905224,78.07884072,5,865.000,,8.630,205,11,21,,
T,2018-12-22 10:30:50,30.39898193,78.07880215,6,866.000,,8.630,205,11,21,,
T,2018-12-22 10:30:51,30.39892404,78.07875246,6,863.000,,7.980,208,13,21,,
T,2018-12-22 10:30:52,30.39886386,78.07871297,6,863.000,,7.820,208,13,21,,
T,2018-12-22 10:30:53,30.39880159,78.07867459,8,863.000,,7.820,208,13,21,,
