type,time,latitude,longitude,accuracy (m),altitude (m),speed (m/s),bearing (deg),sat_used,sat_inview,desc
W,12/22/2018 10:31,30.39570526,78.07573221,17,849,2.64,209,16,32,Pestle weed clg
W,12/22/2018 10:33,30.39005932,78.07422489,5,816,4.17,124,24,30,Deer Park Large
W,12/22/2018 10:37,30.37194642,78.07741929,14,782,1.15,180,21,29,Diversion
W,12/22/2018 10:39,30.36816391,78.07322061,14,767,2.54,222,22,29,Inderbaba
W,12/22/2018 10:40,30.36569055,78.07080607,6,755,1.05,213,24,29,Pacific
W,12/22/2018 10:40,30.3641064,78.06945339,15,752,6.11,221,16,28,Jakhan Petrol pump
W,12/22/2018 10:41,30.36159198,78.06769417,11,737,3.23,204,10,16,Jakhan
W,12/22/2018 10:42,30.36008504,78.06736323,5,727,1.16,189,15,30,Jakhan Kaanta
W,12/22/2018 10:43,30.35317088,78.06333122,14,710,0,,25,29,Nivh
W,12/22/2018 10:44,30.34885932,78.06248714,14,694,0,,23,29,Aketa hotel
W,12/22/2018 10:45,30.34484144,78.06177715,5,685,4.53,196,25,30,Navy Headquarters
W,12/22/2018 10:46,30.342644,78.06097862,6,681,1.69,185,24,30,Silver ity
W,12/22/2018 10:47,30.34153668,78.06077126,14,676,4.55,200,25,30,Honda service centre
W,12/22/2018 10:48,30.33853584,78.05877772,14,669,0.76,220,25,30,Madhuban Hotel
W,12/22/2018 10:50,30.33645095,78.05551969,6,663,0,,9,18,Dilaram BS
W,12/22/2018 10:51,30.33517207,78.0539146,9,659,0.75,236,9,16,Traffic LiGht Dilaram
W,12/22/2018 10:52,30.33466927,78.05297102,14,657,0,,21,31,Traffic Light Dilaram 2
W,12/22/2018 10:53,30.33368502,78.05163012,15,645,0.8,230,26,30,KFC
T,12/22/2018 10:30,30.40088885,78.07881574,5,879,1.16,143,26,34,GPS Logger: 20181222-160014
T,12/22/2018 10:30,30.40088036,78.07883057,5,879,1.16,137,26,34,
T,12/22/2018 10:30,30.40086775,78.07884563,5,878,1.16,131,27,34,
T,12/22/2018 10:30,30.40085563,78.07885725,5,878,1.16,150,27,34,
T,12/22/2018 10:30,30.40084366,78.07886763,5,879,1.16,154,26,34,
T,12/22/2018 10:30,30.40083277,78.07887378,6,878,1.16,168,26,34,
T,12/22/2018 10:30,30.40084101,78.07886598,8,879,1.16,338,26,34,
T,12/22/2018 10:30,30.40084554,78.07887302,6,879,1.16,107,26,34,
T,12/22/2018 10:30,30.40083888,78.0788862,6,879,1.16,166,26,34,
T,12/22/2018 10:30,30.40082816,78.07889112,6,879,1.16,144,26,34,
T,12/22/2018 10:30,30.40082063,78.07890518,6,879,1.16,112,26,34,
T,12/22/2018 10:30,30.40081675,78.07891808,6,878,1.16,75,26,34,
T,12/22/2018 10:30,30.40081632,78.07893257,6,878,1.16,53,26,34,
T,12/22/2018 10:30,30.40080055,78.07895337,8,877,1.16,121,26,34,
T,12/22/2018 10:30,30.40077533,78.0789691,6,876,0.31,142,26,34,
T,12/22/2018 10:30,30.40073618,78.07898909,6,876,1.16,142,26,34,
T,12/22/2018 10:30,30.40068988,78.07900808,8,877,1.16,152,26,34,
T,12/22/2018 10:30,30.400421,78.07915248,6,874,6.73,160,26,34,
T,12/22/2018 10:30,30.40035231,78.07915769,6,871,7.64,166,26,34,
T,12/22/2018 10:30,30.4002707,78.07915851,5,870,8.59,172,26,34,
T,12/22/2018 10:30,30.40019087,78.07916077,6,870,8.62,174,26,34,
T,12/22/2018 10:30,30.400096,78.07915169,6,869,8.78,178,26,34,
T,12/22/2018 10:30,30.40002572,78.07914687,6,869,8.31,180,26,34,
T,12/22/2018 10:30,30.39995587,78.07918041,8,869,7.84,175,26,34,
T,12/22/2018 10:30,30.39985937,78.07917839,5,869,8.83,178,27,34,
T,12/22/2018 10:30,30.39978803,78.07918832,5,870,7.83,180,27,34,
T,12/22/2018 10:30,30.39972587,78.07918774,5,871,7.26,180,27,34,
T,12/22/2018 10:30,30.39965349,78.07917518,5,871,7.58,186,27,34,
T,12/22/2018 10:30,30.39958212,78.07916123,5,870,7.91,191,26,34,
T,12/22/2018 10:30,30.39948932,78.07913277,5,869,8.04,198,16,22,
T,12/22/2018 10:30,30.39941569,78.07907666,5,868,8.3,206,13,23,
T,12/22/2018 10:30,30.39934642,78.07902224,5,868,8.85,210,10,18,
