type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-03 02:58:24,30.29050174,78.10283861,8,590.000,,0.000,,22,31,20190403-082824,GPS Logger: 20190403-082824
T,2019-04-03 02:58:25,30.29049914,78.10284473,6,592.000,,0.000,,24,31,,
T,2019-04-03 02:58:26,30.29051706,78.10285892,6,600.000,,0.000,,25,31,,
T,2019-04-03 02:58:27,30.29051534,78.10285975,6,602.000,,0.000,,24,31,,
T,2019-04-03 02:58:28,30.29051985,78.10287137,6,603.000,,0.000,,25,31,,
T,2019-04-03 02:58:29,30.29051236,78.10286716,6,601.000,,0.000,,25,31,,
T,2019-04-03 02:58:30,30.29051725,78.10286085,5,604.000,,0.180,15,24,31,,
T,2019-04-03 02:58:31,30.29053045,78.10285282,5,607.000,,0.000,,25,31,,
T,2019-04-03 02:58:32,30.29053357,78.10285769,5,607.000,,0.000,,24,31,,
T,2019-04-03 02:58:33,30.29053069,78.10285614,5,607.000,,0.000,,24,31,,
T,2019-04-03 02:58:34,30.29052941,78.10285340,5,607.000,,0.000,,25,31,,
T,2019-04-03 02:58:35,30.29052829,78.10285148,6,606.000,,0.000,,24,32,,
T,2019-04-03 02:58:36,30.29052603,78.10284958,6,606.000,,0.000,,25,32,,
T,2019-04-03 02:58:37,30.29052584,78.10284815,8,605.000,,0.000,,24,32,,
T,2019-04-03 02:58:38,30.29052423,78.10284741,8,606.000,,0.000,,24,32,,
T,2019-04-03 02:58:39,30.29051898,78.10284442,8,605.000,,0.000,,15,21,,
T,2019-04-03 02:58:40,30.29051988,78.10284482,8,605.000,,0.000,,11,21,,
T,2019-04-03 02:58:41,30.29051954,78.10284454,8,605.000,,0.000,,12,21,,
T,2019-04-03 02:58:42,30.29051930,78.10284425,8,605.000,,0.000,,11,20,,
T,2019-04-03 02:58:43,30.29051929,78.10284435,9,605.000,,0.000,,14,21,,
T,2019-04-03 02:58:44,30.29051939,78.10284440,9,605.000,,0.000,,13,20,,
T,2019-04-03 02:58:45,30.29051947,78.10284448,11,605.000,,0.000,,11,19,,
T,2019-04-03 02:58:46,30.29051950,78.10284452,11,605.000,,0.000,,12,21,,
T,2019-04-03 02:58:47,30.29051954,78.10284458,8,605.000,,0.000,,10,19,,
T,2019-04-03 02:58:48,30.29051954,78.10284458,8,605.000,,0.000,,13,21,,
T,2019-04-03 02:58:49,30.29051957,78.10284458,9,605.000,,0.000,,12,20,,
T,2019-04-03 02:58:50,30.29051958,78.10284464,8,605.000,,0.000,,11,19,,
T,2019-04-03 02:58:51,30.29051960,78.10284466,8,606.000,,0.000,,8,18,,
T,2019-04-03 02:58:52,30.29051962,78.10284470,6,605.000,,0.000,,9,21,,
T,2019-04-03 02:58:53,30.29051958,78.10284469,6,605.000,,0.000,,10,21,,
T,2019-04-03 02:58:54,30.29051959,78.10284465,6,605.000,,0.000,,9,19,,
T,2019-04-03 02:58:55,30.29052064,78.10284562,6,606.000,,0.000,,8,20,,
T,2019-04-03 02:58:56,30.29052207,78.10284691,6,606.000,,0.000,,12,31,,
T,2019-04-03 02:58:57,30.29052272,78.10284753,6,607.000,,0.000,,12,31,,
T,2019-04-03 02:58:58,30.29052320,78.10284784,8,607.000,,0.000,,16,32,,
T,2019-04-03 02:58:59,30.29052492,78.10285084,6,607.000,,0.000,,16,32,,
T,2019-04-03 02:59:00,30.29052505,78.10285096,8,607.000,,0.000,,14,20,,
T,2019-04-03 02:59:01,30.29052508,78.10285093,8,607.000,,0.000,,10,19,,
T,2019-04-03 02:59:02,30.29052840,78.10285557,6,609.000,,0.000,,10,19,,
T,2019-04-03 02:59:03,30.29053099,78.10285927,6,610.000,,0.000,,11,21,,
T,2019-04-03 02:59:04,30.29053082,78.10285877,6,609.000,,0.000,,12,20,,
T,2019-04-03 02:59:05,30.29053082,78.10285877,6,609.000,,0.000,,12,20,,
T,2019-04-03 02:59:06,30.29053073,78.10285862,5,609.000,,0.000,,11,19,,
T,2019-04-03 02:59:07,30.29053069,78.10285871,5,609.000,,0.000,,12,19,,
T,2019-04-03 02:59:08,30.29053047,78.10285845,5,609.000,,0.000,,12,21,,
T,2019-04-03 02:59:09,30.29053115,78.10285917,5,610.000,,0.000,,13,19,,
T,2019-04-03 02:59:10,30.29053572,78.10286010,5,611.000,,0.000,,14,19,,
T,2019-04-03 02:59:11,30.29053596,78.10286023,5,611.000,,0.000,,11,18,,
T,2019-04-03 02:59:12,30.29053591,78.10286014,5,611.000,,0.000,,10,19,,
T,2019-04-03 02:59:13,30.29053726,78.10286136,5,612.000,,0.000,,12,19,,
T,2019-04-03 02:59:14,30.29053762,78.10286142,5,612.000,,0.000,,11,17,,
T,2019-04-03 02:59:15,30.29053823,78.10286186,5,612.000,,0.000,,12,18,,
T,2019-04-03 02:59:16,30.29053835,78.10286184,5,612.000,,0.000,,12,21,,
T,2019-04-03 02:59:17,30.29054703,78.10285797,5,612.000,,0.390,347,11,18,,
T,2019-04-03 02:59:18,30.29055848,78.10285139,5,613.000,,0.760,325,14,18,,
T,2019-04-03 02:59:19,30.29057091,78.10284467,5,612.000,,1.490,326,12,17,,
T,2019-04-03 02:59:20,30.29058536,78.10283143,5,611.000,,2.310,326,12,20,,
T,2019-04-03 02:59:21,30.29060148,78.10281791,5,611.000,,1.970,326,12,19,,
T,2019-04-03 02:59:22,30.29061404,78.10281050,5,611.000,,0.780,326,11,19,,
T,2019-04-03 02:59:23,30.29061646,78.10280568,5,610.000,,0.000,,11,19,,
T,2019-04-03 02:59:24,30.29061637,78.10279367,5,611.000,,0.000,,11,21,,
T,2019-04-03 02:59:25,30.29061679,78.10279273,5,611.000,,0.000,,13,21,,
T,2019-04-03 02:59:26,30.29061460,78.10278977,5,611.000,,0.000,,12,19,,
T,2019-04-03 02:59:27,30.29061379,78.10278731,5,611.000,,0.000,,13,21,,
T,2019-04-03 02:59:28,30.29061253,78.10278451,5,610.000,,0.000,,12,19,,
T,2019-04-03 02:59:29,30.29061389,78.10278123,5,610.000,,0.000,,11,19,,
T,2019-04-03 02:59:30,30.29061260,78.10277951,5,610.000,,0.000,,12,19,,
T,2019-04-03 02:59:31,30.29061191,78.10277886,5,610.000,,0.000,,15,21,,
T,2019-04-03 02:59:32,30.29061179,78.10277809,5,611.000,,0.000,,15,20,,
T,2019-04-03 02:59:33,30.29061123,78.10277738,5,610.000,,0.000,,12,17,,
T,2019-04-03 02:59:34,30.29061115,78.10277739,5,610.000,,0.000,,12,17,,
T,2019-04-03 02:59:35,30.29061071,78.10277802,5,610.000,,0.000,,13,20,,
T,2019-04-03 02:59:36,30.29061500,78.10277508,5,611.000,,0.780,325,14,20,,
T,2019-04-03 02:59:37,30.29062385,78.10276467,5,609.000,,1.740,323,13,19,,
