type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-06 02:59:24,30.29042790,78.10296463,15,614.000,,0.000,,16,34,20190406-082924,GPS Logger: 20190406-082924
T,2019-04-06 02:59:25,30.29042989,78.10296571,14,614.000,,0.000,,16,34,,
T,2019-04-06 02:59:26,30.29042996,78.10296354,14,614.000,,0.000,,16,34,,
T,2019-04-06 02:59:27,30.29043380,78.10296652,12,613.000,,0.000,,18,34,,
T,2019-04-06 02:59:28,30.29043321,78.10296691,11,614.000,,0.000,,19,34,,
T,2019-04-06 02:59:29,30.29043337,78.10296483,12,614.000,,0.000,,22,34,,
T,2019-04-06 02:59:30,30.29043365,78.10296294,11,614.000,,0.000,,22,34,,
T,2019-04-06 02:59:31,30.29043403,78.10296177,8,614.000,,0.000,,23,34,,
T,2019-04-06 02:59:32,30.29043405,78.10296102,8,613.000,,0.000,,23,34,,
T,2019-04-06 02:59:33,30.29043391,78.10296032,8,613.000,,0.000,,24,34,,
T,2019-04-06 02:59:34,30.29043431,78.10295917,8,613.000,,0.000,,24,34,,
T,2019-04-06 02:59:35,30.29043439,78.10295898,8,613.000,,0.000,,25,34,,
T,2019-04-06 02:59:36,30.29043452,78.10295856,6,613.000,,0.000,,25,34,,
T,2019-04-06 02:59:37,30.29043434,78.10295868,6,613.000,,0.000,,25,34,,
T,2019-04-06 02:59:38,30.29043437,78.10295853,8,613.000,,0.000,,25,34,,
T,2019-04-06 02:59:39,30.29043454,78.10295844,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:40,30.29043463,78.10295824,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:41,30.29043521,78.10295646,8,612.000,,0.000,,26,34,,
T,2019-04-06 02:59:42,30.29043493,78.10295718,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:43,30.29043504,78.10295720,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:44,30.29043561,78.10295700,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:45,30.29043574,78.10295690,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:46,30.29043576,78.10295682,6,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:47,30.29043662,78.10295749,6,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:48,30.29043718,78.10295726,6,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:49,30.29043721,78.10295722,6,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:50,30.29043720,78.10295719,8,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:51,30.29043767,78.10295725,8,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:52,30.29043769,78.10295726,8,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:53,30.29043769,78.10295721,8,613.000,,0.000,,26,34,,
T,2019-04-06 02:59:54,30.29043752,78.10295704,8,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:55,30.29043765,78.10295704,9,613.000,,0.000,,27,34,,
T,2019-04-06 02:59:56,30.29045937,78.10289347,9,611.000,,1.010,274,27,34,,
T,2019-04-06 02:59:57,30.29046631,78.10290165,8,612.000,,0.000,,28,34,,
T,2019-04-06 02:59:58,30.29047725,78.10288753,8,613.000,,0.000,,30,34,,
T,2019-04-06 02:59:59,30.29049561,78.10288028,6,614.000,,0.000,,30,34,,
T,2019-04-06 03:00:00,30.29050446,78.10287698,6,614.000,,0.000,,31,34,,
T,2019-04-06 03:00:01,30.29052282,78.10287232,6,615.000,,0.000,,31,34,,
T,2019-04-06 03:00:02,30.29052174,78.10286990,6,615.000,,0.000,,31,34,,
T,2019-04-06 03:00:03,30.29052855,78.10286285,6,616.000,,0.000,,31,34,,
T,2019-04-06 03:00:04,30.29053113,78.10286540,6,616.000,,0.000,,31,34,,
T,2019-04-06 03:00:05,30.29053108,78.10287338,5,617.000,,0.000,,31,34,,
T,2019-04-06 03:00:06,30.29053134,78.10286698,5,617.000,,0.000,,32,34,,
T,2019-04-06 03:00:07,30.29053087,78.10286771,5,617.000,,0.000,,32,34,,
T,2019-04-06 03:00:08,30.29052795,78.10284762,5,614.000,,0.000,,32,34,,
T,2019-04-06 03:00:09,30.29053832,78.10281347,5,609.000,,1.400,321,32,34,,
T,2019-04-06 03:00:10,30.29057178,78.10277676,6,608.000,,2.150,322,32,34,,
T,2019-04-06 03:00:11,30.29060711,78.10273630,6,607.000,,3.210,320,31,34,,
T,2019-04-06 03:00:12,30.29064603,78.10269653,6,606.000,,3.920,320,31,34,,
T,2019-04-06 03:00:13,30.29069245,78.10266723,6,607.000,,4.640,324,31,34,,
T,2019-04-06 03:00:14,30.29073777,78.10262971,5,607.000,,5.280,321,31,34,,
T,2019-04-06 03:00:15,30.29078164,78.10257913,6,607.000,,5.540,320,31,34,,
T,2019-04-06 03:00:16,30.29081938,78.10254802,8,607.000,,5.500,323,31,34,,
T,2019-04-06 03:00:17,30.29086457,78.10250988,8,607.000,,6.000,323,30,34,,
T,2019-04-06 03:00:18,30.29091018,78.10246063,9,606.000,,6.250,321,30,34,,
T,2019-04-06 03:00:19,30.29099238,78.10240085,6,605.000,,7.210,323,30,34,,
T,2019-04-06 03:00:20,30.29105180,78.10235750,6,605.000,,7.400,322,30,34,,
T,2019-04-06 03:00:21,30.29110917,78.10230473,14,606.000,,7.720,320,30,34,,
T,2019-04-06 03:00:22,30.29117751,78.10224112,14,606.000,,8.220,319,29,34,,
