type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2018-12-22 10:58:44,30.32494335,78.05171361,8,632.000,,0.260,57,7,15,,Survey Chowk
W,2018-12-22 10:59:10,30.32497626,78.05192101,14,637.000,,0.000,,21,31,,Survey Chowk 2
W,2018-12-22 11:02:27,30.32456139,78.05635982,14,629.000,,0.000,,23,30,,Curzon road : V mart
W,2018-12-22 11:08:07,30.32421548,78.06200670,14,628.000,,0.160,100,25,33,,Chuna bhatta
W,2018-12-22 11:09:23,30.32375340,78.06442900,14,637.000,,0.000,,25,32,,Shastradhara crossing
W,2018-12-22 11:11:11,30.32262310,78.07048363,15,623.000,,1.330,112,24,32,,Shanti vihar
W,2018-12-22 11:12:38,30.32106995,78.07453881,14,618.000,,1.370,112,24,33,,Kaali mandir
W,2018-12-22 11:13:05,30.32073954,78.07540836,14,627.000,,2.380,101,24,34,,Minor Tapovan
W,2018-12-22 11:14:48,30.31912814,78.07960184,14,633.000,,0.150,200,25,31,,Ladpur Petrol Pump
W,2018-12-22 11:16:11,30.31916666,78.07957227,14,629.000,,0.000,,22,31,,Petrol Pump exit
W,2018-12-22 11:20:25,30.30860380,78.09546169,14,617.000,,0.910,121,23,31,,Raipur Med store
W,2018-12-22 11:21:49,30.30635198,78.09839675,14,607.000,,1.150,191,22,31,,Raipur 1
W,2018-12-22 11:22:20,30.30634942,78.09840063,14,603.000,,0.420,192,23,30,,Raipur 1 exit
W,2018-12-22 11:22:52,30.30572781,78.09815561,5,604.000,,0.410,180,24,30,,Raipur 2
W,2018-12-22 11:24:59,30.30171736,78.09805284,5,611.000,,0.000,,9,18,,Pal's Shop
W,2018-12-22 11:27:44,30.29304229,78.10063862,14,607.000,,0.150,143,24,30,,New colony
W,2018-12-22 11:28:30,30.29139300,78.10211021,21,606.000,,4.960,141,7,16,,Kalinga colony
W,2018-12-22 11:29:20,30.29060743,78.10301132,5,602.000,,0.000,,24,30,,Gujronwali chowk_ Bus Stop
W,2018-12-22 11:34:36,30.29266574,78.10393889,15,608.000,,,,22,34,,Home
T,2018-12-22 10:58:24,30.32474303,78.05123993,5,630.000,,4.130,67,24,31,20181222-162824,GPS Logger: 20181222-162824
T,2018-12-22 10:58:25,30.32474889,78.05128477,6,629.000,,3.820,79,24,31,,
T,2018-12-22 10:58:26,30.32475617,78.05132100,6,629.000,,3.410,73,24,31,,
T,2018-12-22 10:58:27,30.32476865,78.05135833,8,629.000,,3.520,72,24,31,,
T,2018-12-22 10:58:28,30.32478305,78.05139332,8,628.000,,3.080,64,24,31,,
T,2018-12-22 10:58:29,30.32479949,78.05142422,6,627.000,,2.680,55,24,31,,
T,2018-12-22 10:58:30,30.32481617,78.05145450,6,627.000,,2.660,56,24,31,,
T,2018-12-22 10:58:31,30.32482852,78.05147684,6,628.000,,1.580,57,24,31,,
T,2018-12-22 10:58:32,30.32483801,78.05149244,5,628.000,,1.350,56,24,31,,
T,2018-12-22 10:58:33,30.32485138,78.05151150,5,628.000,,2.290,48,24,31,,
T,2018-12-22 10:58:34,30.32486771,78.05153123,6,629.000,,2.300,44,24,31,,
T,2018-12-22 10:58:35,30.32488520,78.05155423,6,629.000,,2.570,48,24,31,,
T,2018-12-22 10:58:36,30.32490233,78.05157789,5,629.000,,2.590,48,25,31,,
T,2018-12-22 10:58:37,30.32491677,78.05159969,6,630.000,,2.210,49,25,31,,
T,2018-12-22 10:58:38,30.32492980,78.05162326,6,630.000,,2.470,52,17,21,,
T,2018-12-22 10:58:39,30.32493904,78.05164747,6,632.000,,2.000,59,17,21,,
T,2018-12-22 10:58:40,30.32494328,78.05167050,8,632.000,,1.910,69,13,16,,
T,2018-12-22 10:58:41,30.32494538,78.05168713,6,631.000,,1.020,73,15,27,,
T,2018-12-22 10:58:42,30.32494804,78.05169900,8,632.000,,0.870,76,15,27,,
T,2018-12-22 10:58:43,30.32494618,78.05170873,6,632.000,,0.380,80,12,18,,
T,2018-12-22 10:58:44,30.32494335,78.05171361,8,632.000,,0.260,57,7,15,,
T,2018-12-22 10:58:45,30.32494568,78.05172033,9,631.000,,0.640,50,7,17,,
T,2018-12-22 10:58:46,30.32494504,78.05172499,8,631.000,,0.000,,11,29,,
T,2018-12-22 10:58:47,30.32494432,78.05172493,9,631.000,,0.000,,13,29,,
T,2018-12-22 10:58:48,30.32494556,78.05172610,12,631.000,,0.000,,13,29,,
T,2018-12-22 10:58:49,30.32494786,78.05172761,12,631.000,,0.000,,13,30,,
T,2018-12-22 10:58:50,30.32494968,78.05172720,12,631.000,,0.000,,13,30,,
T,2018-12-22 10:58:51,30.32495074,78.05173005,11,631.000,,0.000,,14,31,,
T,2018-12-22 10:58:52,30.32495253,78.05173293,11,632.000,,0.000,,16,31,,
T,2018-12-22 10:58:53,30.32495393,78.05173749,9,632.000,,0.000,,16,31,,
T,2018-12-22 10:58:54,30.32495551,78.05174161,8,632.000,,0.000,,16,31,,
T,2018-12-22 10:58:55,30.32495794,78.05174567,8,632.000,,0.000,,16,31,,
T,2018-12-22 10:58:56,30.32495978,78.05174938,15,632.000,,0.000,,16,31,,
T,2018-12-22 10:58:57,30.32496712,78.05177647,15,632.000,,2.000,79,17,31,,
T,2018-12-22 10:58:58,30.32497511,78.05180281,15,631.000,,0.880,78,20,31,,
T,2018-12-22 10:58:59,30.32497654,78.05182046,14,634.000,,1.000,103,20,31,,
T,2018-12-22 10:59:00,30.32497566,78.05183681,14,634.000,,0.740,112,20,31,,
T,2018-12-22 10:59:01,30.32497542,78.05185282,14,635.000,,0.710,117,20,31,,
T,2018-12-22 10:59:02,30.32497449,78.05187013,14,635.000,,0.700,108,20,31,,
T,2018-12-22 10:59:03,30.32497665,78.05189616,14,635.000,,0.000,,20,31,,
T,2018-12-22 10:59:04,30.32497646,78.05191104,14,635.000,,0.000,,20,31,,
T,2018-12-22 10:59:05,30.32497731,78.05191749,14,636.000,,0.000,,21,31,,
T,2018-12-22 10:59:06,30.32497582,78.05192028,14,636.000,,0.000,,21,31,,
T,2018-12-22 10:59:07,30.32497510,78.05192168,14,637.000,,0.000,,21,31,,
T,2018-12-22 10:59:08,30.32497701,78.05192400,14,637.000,,0.180,105,21,31,,
T,2018-12-22 10:59:09,30.32497688,78.05192120,14,637.000,,0.000,,21,31,,
T,2018-12-22 10:59:10,30.32497626,78.05192101,14,637.000,,0.000,,21,31,,
T,2018-12-22 10:59:11,30.32497829,78.05192201,14,637.000,,0.000,,22,31,,
T,2018-12-22 10:59:12,30.32497884,78.05192244,14,637.000,,0.000,,22,31,,
T,2018-12-22 10:59:13,30.32497955,78.05192242,14,636.000,,0.000,,22,31,,
T,2018-12-22 10:59:14,30.32498083,78.05192249,14,637.000,,0.000,,22,31,,
T,2018-12-22 10:59:15,30.32498042,78.05192300,14,637.000,,0.000,,22,31,,
T,2018-12-22 10:59:16,30.32497603,78.05192133,14,638.000,,0.340,124,22,31,,
T,2018-12-22 10:59:17,30.32497362,78.05191774,14,639.000,,0.200,173,21,30,,
T,2018-12-22 10:59:18,30.32497285,78.05191548,14,641.000,,0.000,,21,31,,
T,2018-12-22 10:59:19,30.32497368,78.05191295,14,642.000,,0.000,,21,30,,
