type,time,latitude,longitude,accuracy (m),altitude (m),speed (m/s),bearing (deg),sat_used,sat_inview,desc
W,12/22/2018 10:58,30.32494335,78.05171361,8,632,0.26,57,7,15,Survey Chowk
W,12/22/2018 10:59,30.32497626,78.05192101,14,637,0,,21,31,Survey Chowk 2
W,12/22/2018 11:02,30.32456139,78.05635982,14,629,0,,23,30,Curzon road : V mart
W,12/22/2018 11:08,30.32421548,78.0620067,14,628,0.16,100,25,33,Chuna bhatta
W,12/22/2018 11:09,30.3237534,78.064429,14,637,0,,25,32,Shastradhara crossing
W,12/22/2018 11:11,30.3226231,78.07048363,15,623,1.33,112,24,32,Shanti vihar
W,12/22/2018 11:12,30.32106995,78.07453881,14,618,1.37,112,24,33,Kaali mandir
W,12/22/2018 11:13,30.32073954,78.07540836,14,627,2.38,101,24,34,Minor Tapovan
W,12/22/2018 11:14,30.31912814,78.07960184,14,633,0.15,200,25,31,Ladpur Petrol Pump
W,12/22/2018 11:16,30.31916666,78.07957227,14,629,0,,22,31,Petrol Pump exit
W,12/22/2018 11:20,30.3086038,78.09546169,14,617,0.91,121,23,31,Raipur Med store
W,12/22/2018 11:21,30.30635198,78.09839675,14,607,1.15,191,22,31,Raipur 1
W,12/22/2018 11:22,30.30634942,78.09840063,14,603,0.42,192,23,30,Raipur 1 exit
W,12/22/2018 11:22,30.30572781,78.09815561,5,604,0.41,180,24,30,Raipur 2
W,12/22/2018 11:24,30.30171736,78.09805284,5,611,0,,9,18,Pal's Shop
W,12/22/2018 11:27,30.29304229,78.10063862,14,607,0.15,143,24,30,New colony
W,12/22/2018 11:28,30.291393,78.10211021,21,606,4.96,141,7,16,Kalinga colony
W,12/22/2018 11:29,30.29060743,78.10301132,5,602,0,,24,30,Gujronwali chowk_ Bus Stop
W,12/22/2018 11:34,30.29266574,78.10393889,15,608,,,22,34,Home
T,12/22/2018 10:58,30.32474303,78.05123993,5,630,4.13,67,24,31,GPS Logger: 20181222-162824
T,12/22/2018 10:58,30.32474889,78.05128477,6,629,3.82,79,24,31,
T,12/22/2018 10:58,30.32475617,78.051321,6,629,3.41,73,24,31,
T,12/22/2018 10:58,30.32476865,78.05135833,8,629,3.52,72,24,31,
T,12/22/2018 10:58,30.32478305,78.05139332,8,628,3.08,64,24,31,
T,12/22/2018 10:58,30.32479949,78.05142422,6,627,2.68,55,24,31,
T,12/22/2018 10:58,30.32481617,78.0514545,6,627,2.66,56,24,31,
