type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-06 07:33:57,30.39931612,78.07697574,5,886.000,,4.250,49,27,41,20190406-130357,GPS Logger: 20190406-130357
T,2019-04-06 07:33:58,30.39937027,78.07704369,5,883.000,,6.920,60,28,41,,
T,2019-04-06 07:33:59,30.39941701,78.07710102,5,881.000,,7.600,58,27,40,,
T,2019-04-06 07:34:00,30.39944963,78.07715372,5,881.000,,6.680,55,27,41,,
T,2019-04-06 07:34:01,30.39949100,78.07715957,5,880.000,,4.690,44,30,41,,
T,2019-04-06 07:34:02,30.39954642,78.07711967,5,879.000,,5.010,353,29,41,,
T,2019-04-06 07:34:03,30.39959874,78.07707814,5,879.000,,5.290,331,29,41,,
T,2019-04-06 07:34:04,30.39965918,78.07702850,5,878.000,,6.080,328,29,41,,
T,2019-04-06 07:34:05,30.39970140,78.07699005,5,878.000,,6.160,326,30,41,,
T,2019-04-06 07:34:06,30.39975092,78.07695275,5,878.000,,5.960,332,30,41,,
T,2019-04-06 07:34:07,30.39979077,78.07692879,5,878.000,,5.100,333,29,41,,
T,2019-04-06 07:34:08,30.39980943,78.07689443,5,879.000,,3.980,329,16,25,,
T,2019-04-06 07:34:09,30.39984488,78.07687403,5,877.000,,3.590,357,10,25,,
T,2019-04-06 07:34:10,30.39988401,78.07688279,5,877.000,,4.230,32,9,24,,
T,2019-04-06 07:34:11,30.39991640,78.07690619,5,877.000,,4.230,32,9,24,,
T,2019-04-06 07:34:12,30.39993800,78.07693764,5,876.000,,3.820,45,11,25,,
T,2019-04-06 07:34:13,30.39995911,78.07696607,5,876.000,,3.630,49,12,25,,
T,2019-04-06 07:34:14,30.39998158,78.07698649,5,875.000,,3.410,62,10,23,,
T,2019-04-06 07:34:15,30.40000408,78.07703006,5,875.000,,4.010,65,10,23,,
T,2019-04-06 07:34:16,30.40002564,78.07705808,6,875.000,,3.690,59,11,24,,
T,2019-04-06 07:34:17,30.40004299,78.07709089,6,875.000,,3.690,59,11,24,,
T,2019-04-06 07:34:18,30.40004967,78.07710880,8,875.000,,0.410,65,11,24,,
T,2019-04-06 07:34:19,30.40005506,78.07711932,8,874.000,,1.350,61,13,39,,
T,2019-04-06 07:34:20,30.40009284,78.07715364,8,873.000,,1.910,48,14,39,,
T,2019-04-06 07:34:21,30.40024595,78.07726078,8,871.000,,6.800,40,12,21,,
T,2019-04-06 07:34:22,30.40030193,78.07731739,8,872.000,,6.830,39,11,23,,
T,2019-04-06 07:34:23,30.40032612,78.07734823,6,870.000,,6.470,41,13,23,,
T,2019-04-06 07:34:24,30.40035843,78.07739595,6,870.000,,6.170,41,13,23,,
T,2019-04-06 07:34:25,30.40041225,78.07744670,6,871.000,,6.140,40,13,21,,
T,2019-04-06 07:34:26,30.40044793,78.07748481,6,870.000,,6.130,39,11,21,,
T,2019-04-06 07:34:27,30.40050003,78.07751214,6,871.000,,6.140,39,12,22,,
T,2019-04-06 07:34:28,30.40054569,78.07755310,6,870.000,,5.640,33,13,23,,
T,2019-04-06 07:34:29,30.40058681,78.07758840,6,871.000,,5.060,32,13,23,,
T,2019-04-06 07:34:30,30.40063174,78.07760463,6,871.000,,6.050,15,13,22,,
T,2019-04-06 07:34:31,30.40068322,78.07761998,6,874.000,,6.500,11,11,21,,
T,2019-04-06 07:34:32,30.40073854,78.07763033,6,874.000,,6.920,10,13,23,,
T,2019-04-06 07:34:33,30.40080237,78.07764051,6,874.000,,6.040,16,13,22,,
T,2019-04-06 07:34:34,30.40087113,78.07765178,6,873.000,,6.680,13,12,22,,
T,2019-04-06 07:34:35,30.40093020,78.07766706,6,876.000,,6.610,14,11,22,,
T,2019-04-06 07:34:36,30.40099172,78.07770629,8,876.000,,6.730,26,13,23,,
T,2019-04-06 07:34:37,30.40105437,78.07776906,8,877.000,,6.390,37,12,22,,
T,2019-04-06 07:34:38,30.40110061,78.07780891,9,876.000,,6.390,37,12,22,,
T,2019-04-06 07:34:39,30.40113287,78.07788165,8,878.000,,6.300,69,14,21,,
T,2019-04-06 07:34:40,30.40114550,78.07795938,8,879.000,,6.200,85,13,21,,
T,2019-04-06 07:34:41,30.40114791,78.07801974,8,879.000,,6.160,89,11,21,,
T,2019-04-06 07:34:42,30.40114989,78.07807772,8,878.000,,5.890,92,11,22,,
T,2019-04-06 07:34:43,30.40114016,78.07815016,9,879.000,,6.300,99,11,22,,
T,2019-04-06 07:34:44,30.40113616,78.07821453,9,879.000,,6.140,102,13,22,,
T,2019-04-06 07:34:45,30.40112279,78.07827070,9,879.000,,5.580,101,12,21,,
T,2019-04-06 07:34:46,30.40110995,78.07832589,9,880.000,,4.780,96,12,21,,
T,2019-04-06 07:34:47,30.40110795,78.07837462,8,879.000,,3.990,93,11,21,,
T,2019-04-06 07:34:48,30.40110573,78.07841602,9,879.000,,3.980,94,11,21,,
T,2019-04-06 07:34:49,30.40111406,78.07845225,8,879.000,,3.960,77,15,23,,
T,2019-04-06 07:34:50,30.40111741,78.07848888,9,877.000,,3.830,83,13,21,,
T,2019-04-06 07:34:51,30.40112444,78.07851114,9,877.000,,3.140,99,13,22,,
T,2019-04-06 07:34:52,30.40111518,78.07854486,9,877.000,,3.630,104,10,20,,
T,2019-04-06 07:34:53,30.40110331,78.07858738,9,876.000,,3.560,126,15,22,,
T,2019-04-06 07:34:54,30.40107337,78.07862434,8,876.000,,4.170,126,12,20,,
T,2019-04-06 07:34:55,30.40104960,78.07865637,9,876.000,,3.940,131,13,22,,
