type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-06 03:19:20,30.32377411,78.06423462,9,646.000,,5.290,291,21,36,20190406-084920,GPS Logger: 20190406-084920
T,2019-04-06 03:19:21,30.32377191,78.06420316,8,647.000,,4.920,287,24,36,,
T,2019-04-06 03:19:22,30.32378496,78.06415308,8,647.000,,4.550,292,24,36,,
T,2019-04-06 03:19:23,30.32380378,78.06412654,8,647.000,,3.480,300,26,37,,
T,2019-04-06 03:19:24,30.32381260,78.06411730,6,648.000,,2.230,300,26,38,,
T,2019-04-06 03:19:25,30.32381883,78.06410437,6,648.000,,1.470,300,26,38,,
T,2019-04-06 03:19:26,30.32382087,78.06409963,6,648.000,,0.210,300,27,39,,
T,2019-04-06 03:19:27,30.32383113,78.06409502,6,650.000,,0.480,301,27,39,,
T,2019-04-06 03:19:28,30.32382262,78.06408926,6,650.000,,0.220,301,27,39,,
T,2019-04-06 03:19:29,30.32381733,78.06408076,5,650.000,,0.790,301,28,39,,
T,2019-04-06 03:19:30,30.32382695,78.06407243,5,651.000,,1.040,301,28,39,,
T,2019-04-06 03:19:31,30.32382823,78.06405998,6,651.000,,1.290,301,27,39,,
T,2019-04-06 03:19:32,30.32383357,78.06404584,5,651.000,,1.460,311,27,39,,
T,2019-04-06 03:19:33,30.32384442,78.06403036,5,651.000,,2.120,311,27,39,,
T,2019-04-06 03:19:34,30.32386007,78.06400918,5,651.000,,2.670,310,27,39,,
T,2019-04-06 03:19:35,30.32388487,78.06399669,5,653.000,,3.150,331,28,39,,
T,2019-04-06 03:19:36,30.32391841,78.06399402,5,651.000,,3.720,352,28,39,,
T,2019-04-06 03:19:37,30.32396431,78.06400799,5,650.000,,5.320,19,28,39,,
T,2019-04-06 03:19:38,30.32403812,78.06407413,5,650.000,,6.380,21,28,39,,
T,2019-04-06 03:19:39,30.32409387,78.06409967,5,650.000,,6.590,22,28,39,,
T,2019-04-06 03:19:40,30.32415634,78.06412847,5,650.000,,7.410,21,28,39,,
T,2019-04-06 03:19:41,30.32421968,78.06415604,5,652.000,,7.570,22,28,39,,
T,2019-04-06 03:19:42,30.32428619,78.06418578,5,653.000,,7.640,22,28,39,,
T,2019-04-06 03:19:43,30.32434934,78.06420633,5,653.000,,7.520,20,28,39,,
T,2019-04-06 03:19:44,30.32441331,78.06424298,5,653.000,,7.940,25,28,39,,
T,2019-04-06 03:19:45,30.32447202,78.06427184,5,653.000,,7.570,24,28,39,,
T,2019-04-06 03:19:46,30.32453442,78.06429940,5,653.000,,7.280,22,28,39,,
T,2019-04-06 03:19:47,30.32459449,78.06432356,5,653.000,,6.990,20,28,39,,
T,2019-04-06 03:19:48,30.32464680,78.06433699,5,653.000,,6.110,15,28,39,,
T,2019-04-06 03:19:49,30.32469468,78.06436476,5,652.000,,5.690,18,28,39,,
T,2019-04-06 03:19:50,30.32473434,78.06437983,6,652.000,,5.190,23,28,39,,
T,2019-04-06 03:19:51,30.32476537,78.06438018,6,652.000,,4.230,13,28,39,,
T,2019-04-06 03:19:52,30.32478071,78.06436249,5,652.000,,2.000,332,28,39,,
T,2019-04-06 03:19:53,30.32479035,78.06434578,5,651.000,,2.340,309,28,39,,
T,2019-04-06 03:19:54,30.32481833,78.06432295,5,651.000,,2.790,314,28,39,,
T,2019-04-06 03:19:55,30.32485228,78.06427824,6,650.000,,4.320,315,28,39,,
T,2019-04-06 03:19:56,30.32488364,78.06424681,6,650.000,,4.700,316,28,39,,
T,2019-04-06 03:19:57,30.32491428,78.06423278,6,649.000,,3.520,326,28,39,,
T,2019-04-06 03:19:58,30.32493450,78.06420012,6,649.000,,3.550,315,28,39,,
T,2019-04-06 03:19:59,30.32496342,78.06418014,6,650.000,,2.930,316,28,39,,
T,2019-04-06 03:20:00,30.32497016,78.06415794,6,650.000,,2.010,304,28,39,,
T,2019-04-06 03:20:01,30.32498432,78.06413528,6,650.000,,2.510,312,28,39,,
T,2019-04-06 03:20:02,30.32500506,78.06411080,5,650.000,,3.310,315,28,39,,
T,2019-04-06 03:20:03,30.32503236,78.06408213,5,650.000,,4.000,315,26,38,,
T,2019-04-06 03:20:04,30.32506519,78.06404749,5,649.000,,4.890,317,27,38,,
T,2019-04-06 03:20:05,30.32512121,78.06400848,5,649.000,,5.180,320,27,38,,
T,2019-04-06 03:20:06,30.32514512,78.06395846,5,650.000,,5.300,312,27,38,,
