index,type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
1,T,3/15/2019 3:12,30.32257053,78.07028228,5,621,,0,,25,38,20190315-084242,GPS Logger: 20190315-084242
2,T,3/15/2019 3:12,30.32257415,78.07028266,5,622,,0,,26,38,,
3,T,3/15/2019 3:12,30.3225707,78.07027787,5,622,,0,,27,39,,
4,T,3/15/2019 3:12,30.32257358,78.07027241,5,623,,0,,28,39,,
5,T,3/15/2019 3:12,30.32257212,78.07026867,5,622,,0,,28,39,,
6,T,3/15/2019 3:12,30.3225705,78.07026465,5,622,,0.18,214,28,39,,
7,T,3/15/2019 3:12,30.32256317,78.07025479,5,622,,0,,28,39,,
8,T,3/15/2019 3:12,30.32256061,78.07025377,5,622,,0,,28,39,,
9,T,3/15/2019 3:12,30.32255921,78.0702506,5,622,,0,,28,39,,
10,T,3/15/2019 3:12,30.32256085,78.07024753,5,621,,0,,28,39,,
11,T,3/15/2019 3:12,30.32256111,78.07024682,5,621,,0,,28,39,,
12,T,3/15/2019 3:12,30.32256704,78.07024624,5,620,,0,,28,39,,
13,T,3/15/2019 3:12,30.32256658,78.07024421,5,619,,0,,17,25,,
14,T,3/15/2019 3:12,30.32256715,78.07024463,5,620,,0,,11,19,,
15,T,3/15/2019 3:12,30.32256715,78.07024463,5,620,,0,,11,19,,
16,T,3/15/2019 3:12,30.32256871,78.07024265,5,620,,0,,8,20,,
17,T,3/15/2019 3:12,30.32256876,78.0702425,5,620,,0,,11,21,,
18,T,3/15/2019 3:12,30.32256876,78.0702425,5,620,,0,,11,21,,
19,T,3/15/2019 3:13,30.32256789,78.07024172,6,620,,0,,11,19,,
20,T,3/15/2019 3:13,30.32258849,78.07018452,6,621,,4.66,283,13,21,,
21,T,3/15/2019 3:13,30.32260006,78.07011814,6,620,,5.68,274,10,18,,
22,T,3/15/2019 3:13,30.32260379,78.07005923,6,620,,5.68,274,10,18,,
23,T,3/15/2019 3:13,30.32261712,78.06998811,8,620,,6.09,274,10,19,,
24,T,3/15/2019 3:13,30.32261495,78.06990505,6,620,,6.77,271,12,36,,
25,T,3/15/2019 3:13,30.32262149,78.06983277,6,621,,7.15,272,12,36,,
26,T,3/15/2019 3:13,30.32262801,78.06975172,8,623,,7.41,273,15,36,,
27,T,3/15/2019 3:13,30.322601,78.06967175,6,623,,7.71,270,13,20,,
28,T,3/15/2019 3:13,30.32259351,78.06959174,8,622,,7.88,269,12,22,,
29,T,3/15/2019 3:13,30.32259907,78.06949254,8,622,,8.12,266,12,22,,
30,T,3/15/2019 3:13,30.32258485,78.06939496,8,621,,8.18,268,11,19,,
31,T,3/15/2019 3:13,30.32258865,78.06931133,8,621,,8.21,267,11,21,,
32,T,3/15/2019 3:13,30.32258496,78.06922269,8,620,,8.08,266,14,21,,
33,T,3/15/2019 3:13,30.32258025,78.06913881,9,620,,8.08,266,14,21,,
34,T,3/15/2019 3:13,30.32260423,78.06905615,6,621,,8.27,273,12,19,,
35,T,3/15/2019 3:13,30.32260866,78.06897032,8,621,,8.27,274,12,19,,
36,T,3/15/2019 3:13,30.32260085,78.06889152,8,622,,8.39,275,12,19,,
37,T,3/15/2019 3:13,30.32260851,78.06880477,9,622,,8.38,275,13,20,,
38,T,3/15/2019 3:13,30.32262077,78.06871518,8,622,,8.37,275,11,19,,
