type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-03-25 10:38:19,30.34989811,78.06234174,14,695.000,,13.430,175,22,35,20190325-160819,GPS Logger: 20190325-160819
T,2019-03-25 10:38:20,30.34977758,78.06235233,14,695.000,,12.560,176,22,35,,
T,2019-03-25 10:38:21,30.34966484,78.06237104,14,695.000,,11.920,177,22,35,,
T,2019-03-25 10:38:22,30.34955576,78.06239107,14,696.000,,11.760,176,24,35,,
T,2019-03-25 10:38:23,30.34945013,78.06240012,14,696.000,,11.510,175,24,36,,
T,2019-03-25 10:38:24,30.34934975,78.06241617,14,695.000,,11.120,175,26,36,,
T,2019-03-25 10:38:25,30.34925111,78.06241980,14,695.000,,10.740,177,26,36,,
T,2019-03-25 10:38:26,30.34915500,78.06242166,14,695.000,,10.850,178,26,36,,
T,2019-03-25 10:38:27,30.34904393,78.06243217,14,695.000,,11.380,178,26,36,,
T,2019-03-25 10:38:28,30.34893805,78.06243160,14,696.000,,11.720,178,26,36,,
T,2019-03-25 10:38:29,30.34883394,78.06243440,14,695.000,,12.140,177,26,36,,
T,2019-03-25 10:38:30,30.34872920,78.06243743,14,694.000,,12.090,179,27,36,,
T,2019-03-25 10:38:31,30.34861262,78.06243568,14,694.000,,11.890,181,27,36,,
T,2019-03-25 10:38:32,30.34850978,78.06243241,14,694.000,,12.010,179,27,36,,
T,2019-03-25 10:38:33,30.34838771,78.06244799,14,694.000,,12.350,178,27,36,,
T,2019-03-25 10:38:34,30.34828630,78.06245647,14,694.000,,11.890,179,27,36,,
T,2019-03-25 10:38:35,30.34818580,78.06245448,14,693.000,,11.990,181,27,36,,
T,2019-03-25 10:38:36,30.34807262,78.06244703,14,693.000,,12.040,184,27,36,,
T,2019-03-25 10:38:37,30.34797057,78.06242526,14,692.000,,11.630,185,28,36,,
T,2019-03-25 10:38:38,30.34787144,78.06241613,5,692.000,,11.250,185,28,36,,
T,2019-03-25 10:38:39,30.34776965,78.06240104,5,692.000,,11.200,187,28,35,,
T,2019-03-25 10:38:40,30.34767111,78.06239123,5,692.000,,11.000,186,28,36,,
T,2019-03-25 10:38:41,30.34757854,78.06238568,5,691.000,,10.400,185,28,36,,
T,2019-03-25 10:38:42,30.34749285,78.06238714,5,691.000,,9.950,183,27,36,,
T,2019-03-25 10:38:43,30.34740999,78.06237660,5,691.000,,9.480,185,27,36,,
T,2019-03-25 10:38:44,30.34732865,78.06237239,5,690.000,,9.150,186,27,36,,
T,2019-03-25 10:38:45,30.34724924,78.06237053,5,690.000,,8.520,185,14,19,,
T,2019-03-25 10:38:46,30.34717724,78.06235556,5,689.000,,7.460,186,12,18,,
T,2019-03-25 10:38:47,30.34711057,78.06235043,5,689.000,,6.850,186,14,21,,
T,2019-03-25 10:38:48,30.34704909,78.06234288,6,689.000,,6.850,186,14,21,,
T,2019-03-25 10:38:49,30.34700510,78.06231653,5,686.000,,5.850,188,12,19,,
T,2019-03-25 10:38:50,30.34694546,78.06231567,5,686.000,,5.730,186,11,19,,
T,2019-03-25 10:38:51,30.34688399,78.06230644,5,686.000,,6.120,182,12,20,,
T,2019-03-25 10:38:52,30.34681183,78.06231240,5,687.000,,7.070,184,13,20,,
T,2019-03-25 10:38:53,30.34675849,78.06232378,6,688.000,,7.660,181,11,18,,
T,2019-03-25 10:38:54,30.34668553,78.06231146,6,689.000,,8.610,185,12,20,,
T,2019-03-25 10:38:55,30.34660275,78.06230976,6,689.000,,9.320,181,13,20,,
T,2019-03-25 10:38:56,30.34651869,78.06230842,8,688.000,,9.310,181,13,20,,
T,2019-03-25 10:38:57,30.34642004,78.06230695,8,688.000,,10.370,185,11,19,,
T,2019-03-25 10:38:58,30.34632272,78.06229722,8,688.000,,10.860,186,11,19,,
T,2019-03-25 10:38:59,30.34623849,78.06226613,6,688.000,,11.000,189,10,20,,
T,2019-03-25 10:39:00,30.34614047,78.06224813,8,687.000,,11.000,189,10,20,,
T,2019-03-25 10:39:01,30.34604580,78.06221001,8,687.000,,10.990,192,10,18,,
T,2019-03-25 10:39:02,30.34594587,78.06218738,8,688.000,,11.050,193,10,19,,
T,2019-03-25 10:39:03,30.34584270,78.06216169,9,688.000,,10.830,196,13,36,,
T,2019-03-25 10:39:04,30.34573971,78.06212846,9,689.000,,11.530,194,15,36,,
T,2019-03-25 10:39:05,30.34563520,78.06207932,11,688.000,,11.580,197,15,35,,
T,2019-03-25 10:39:06,30.34554802,78.06204326,9,687.000,,10.700,196,22,35,,
T,2019-03-25 10:39:07,30.34544684,78.06200584,6,687.000,,10.330,196,23,35,,
T,2019-03-25 10:39:08,30.34537236,78.06196809,5,686.000,,9.910,199,24,35,,
T,2019-03-25 10:39:09,30.34528663,78.06193737,5,686.000,,9.510,198,26,36,,
T,2019-03-25 10:39:10,30.34521744,78.06191138,5,685.000,,9.070,199,26,36,,
T,2019-03-25 10:39:11,30.34513032,78.06188568,5,685.000,,9.760,198,25,36,,
T,2019-03-25 10:39:12,30.34504764,78.06185389,5,685.000,,9.770,199,25,36,,
T,2019-03-25 10:39:13,30.34495922,78.06182715,5,685.000,,9.730,199,26,36,,
T,2019-03-25 10:39:14,30.34487643,78.06178996,5,684.000,,9.240,200,27,36,,
T,2019-03-25 10:39:15,30.34479975,78.06175737,5,684.000,,9.440,201,27,36,,
T,2019-03-25 10:39:16,30.34471906,78.06172622,5,684.000,,9.230,200,27,36,,
T,2019-03-25 10:39:17,30.34463859,78.06169372,5,683.000,,9.180,200,27,36,,
T,2019-03-25 10:39:18,30.34455948,78.06166115,5,682.000,,9.220,198,27,36,,
T,2019-03-25 10:39:19,30.34447768,78.06163203,5,682.000,,9.190,197,27,36,,
T,2019-03-25 10:39:20,30.34440533,78.06159455,5,682.000,,8.900,201,27,36,,
T,2019-03-25 10:39:21,30.34431039,78.06155946,5,682.000,,10.260,200,27,36,,
T,2019-03-25 10:39:22,30.34422958,78.06151637,5,682.000,,9.920,204,27,36,,
T,2019-03-25 10:39:23,30.34414881,78.06148029,5,682.000,,9.580,202,27,36,,
T,2019-03-25 10:39:24,30.34405764,78.06144868,5,682.000,,9.800,201,27,36,,
T,2019-03-25 10:39:25,30.34396732,78.06142083,5,682.000,,10.060,197,27,36,,
T,2019-03-25 10:39:26,30.34387591,78.06139195,5,682.000,,10.380,196,27,36,,
T,2019-03-25 10:39:27,30.34378643,78.06136029,5,681.000,,10.470,197,27,37,,
T,2019-03-25 10:39:28,30.34369817,78.06132920,5,680.000,,10.650,197,27,37,,
T,2019-03-25 10:39:29,30.34360004,78.06129668,5,680.000,,11.040,197,26,37,,
T,2019-03-25 10:39:30,30.34350735,78.06126080,5,679.000,,11.230,198,26,37,,
T,2019-03-25 10:39:31,30.34341280,78.06122056,5,679.000,,11.260,199,26,37,,
T,2019-03-25 10:39:32,30.34331982,78.06118390,5,678.000,,11.000,198,27,37,,
T,2019-03-25 10:39:33,30.34322820,78.06115580,5,678.000,,10.630,195,28,37,,
T,2019-03-25 10:39:34,30.34313873,78.06112720,5,677.000,,10.430,196,26,37,,
T,2019-03-25 10:39:35,30.34304673,78.06109946,5,677.000,,10.550,196,27,37,,
T,2019-03-25 10:39:36,30.34295290,78.06107024,5,677.000,,10.990,197,27,37,,
T,2019-03-25 10:39:37,30.34285757,78.06103208,5,677.000,,11.070,199,27,37,,
T,2019-03-25 10:39:38,30.34277048,78.06101049,5,677.000,,10.380,196,27,37,,
T,2019-03-25 10:39:39,30.34267802,78.06098409,5,677.000,,10.320,195,27,37,,
T,2019-03-25 10:39:40,30.34258935,78.06095767,5,677.000,,10.140,194,17,22,,
T,2019-03-25 10:39:41,30.34249517,78.06093657,5,677.000,,10.210,193,19,37,,
T,2019-03-25 10:39:42,30.34241159,78.06093042,5,677.000,,9.390,191,20,37,,
T,2019-03-25 10:39:43,30.34233728,78.06089829,5,676.000,,9.110,196,20,37,,
