type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-01 10:37:22,30.40040941,78.07920552,6,884.000,,6.410,159,23,37,20190401-160722,GPS Logger: 20190401-160722
T,2019-04-01 10:37:23,30.40034076,78.07923117,6,884.000,,7.060,163,23,37,,
T,2019-04-01 10:37:24,30.40027251,78.07924541,8,881.000,,7.240,171,23,37,,
T,2019-04-01 10:37:25,30.40020588,78.07925793,8,881.000,,7.420,172,24,37,,
T,2019-04-01 10:37:26,30.40011740,78.07924369,5,880.000,,8.780,176,24,37,,
T,2019-04-01 10:37:27,30.40003594,78.07924442,5,879.000,,8.890,181,26,37,,
T,2019-04-01 10:37:28,30.39994824,78.07924833,5,878.000,,9.050,179,26,38,,
T,2019-04-01 10:37:29,30.39986454,78.07925290,6,878.000,,9.120,178,26,38,,
T,2019-04-01 10:37:30,30.39977132,78.07922030,5,875.000,,9.230,177,14,25,,
T,2019-04-01 10:37:31,30.39968562,78.07921824,5,875.000,,9.250,181,11,24,,
T,2019-04-01 10:37:32,30.39961365,78.07921383,5,875.000,,9.340,189,13,25,,
T,2019-04-01 10:37:33,30.39953028,78.07919924,5,875.000,,9.340,189,13,25,,
T,2019-04-01 10:37:34,30.39946042,78.07918381,5,875.000,,9.110,197,8,20,,
T,2019-04-01 10:37:35,30.39938180,78.07916541,5,876.000,,8.000,198,10,24,,
T,2019-04-01 10:37:36,30.39931308,78.07913994,5,876.000,,8.000,198,10,24,,
T,2019-04-01 10:37:37,30.39923403,78.07912273,5,877.000,,8.860,199,10,21,,
T,2019-04-01 10:37:38,30.39915846,78.07909267,6,877.000,,8.860,199,10,21,,
T,2019-04-01 10:37:39,30.39908013,78.07906146,8,878.000,,8.660,200,12,24,,
T,2019-04-01 10:37:40,30.39901187,78.07896229,8,877.000,,9.030,211,13,25,,
T,2019-04-01 10:37:41,30.39893612,78.07889288,8,876.000,,9.660,209,13,25,,
T,2019-04-01 10:37:42,30.39888191,78.07884899,8,874.000,,8.990,206,11,23,,
T,2019-04-01 10:37:43,30.39880854,78.07880889,9,873.000,,9.000,206,11,23,,
T,2019-04-01 10:37:44,30.39873055,78.07875176,8,873.000,,9.450,204,9,23,,
T,2019-04-01 10:37:45,30.39865802,78.07867931,9,872.000,,10.390,215,11,24,,
T,2019-04-01 10:37:46,30.39857196,78.07864650,6,874.000,,9.600,204,12,25,,
T,2019-04-01 10:37:47,30.39849273,78.07859639,6,873.000,,9.680,208,12,24,,
T,2019-04-01 10:37:48,30.39841119,78.07854783,6,873.000,,10.120,210,11,24,,
T,2019-04-01 10:37:49,30.39833390,78.07850026,6,873.000,,9.820,207,11,23,,
T,2019-04-01 10:37:50,30.39827005,78.07845390,6,872.000,,9.380,206,10,22,,
T,2019-04-01 10:37:51,30.39819371,78.07842324,8,872.000,,8.690,202,10,22,,
T,2019-04-01 10:37:52,30.39811323,78.07838579,8,872.000,,9.210,203,12,22,,
T,2019-04-01 10:37:53,30.39803017,78.07835040,11,872.000,,9.600,202,11,23,,
T,2019-04-01 10:37:54,30.39794168,78.07826948,9,870.000,,10.950,212,11,23,,
T,2019-04-01 10:37:55,30.39785509,78.07822523,8,871.000,,9.840,205,13,24,,
T,2019-04-01 10:37:56,30.39777470,78.07818160,9,871.000,,9.840,205,13,24,,
T,2019-04-01 10:37:57,30.39770600,78.07807682,8,867.000,,9.890,205,14,25,,
T,2019-04-01 10:37:58,30.39761768,78.07803454,8,868.000,,10.270,207,12,23,,
T,2019-04-01 10:37:59,30.39753563,78.07795074,6,867.000,,10.410,208,12,22,,
T,2019-04-01 10:38:00,30.39745145,78.07790412,6,865.000,,10.340,207,11,22,,
T,2019-04-01 10:38:01,30.39737218,78.07785001,6,864.000,,10.160,213,13,24,,
T,2019-04-01 10:38:02,30.39728165,78.07778314,5,863.000,,11.690,216,12,24,,
