type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2018-12-22 10:19:07,30.39939474,78.07648712,9,857.000,,1.220,333,16,28,,Vedanta
W,2018-12-22 10:22:10,30.39952290,78.07620443,5,856.000,,1.200,346,22,34,,Vastu
T,2018-12-22 10:17:45,30.39945128,78.07659963,20,861.000,,0.000,,7,28,20181222-154745,GPS Logger: 20181222-154745
T,2018-12-22 10:17:46,30.39945147,78.07659980,20,854.000,,0.000,,7,28,,
T,2018-12-22 10:17:47,30.39945153,78.07659986,21,854.000,,0.000,,6,27,,
T,2018-12-22 10:17:48,30.39945156,78.07659989,21,855.000,,0.000,,5,27,,
T,2018-12-22 10:17:49,30.39945158,78.07659990,23,855.000,,0.000,,3,26,,
T,2018-12-22 10:17:50,30.39945160,78.07659992,24,855.000,,0.000,,3,26,,
T,2018-12-22 10:17:51,30.39944817,78.07659462,26,856.000,,1.200,233,3,28,,
T,2018-12-22 10:17:52,30.39944157,78.07658440,26,856.000,,1.200,233,3,28,,
T,2018-12-22 10:17:53,30.39943473,78.07657450,26,856.000,,1.200,230,3,28,,
T,2018-12-22 10:17:54,30.39942797,78.07656460,26,856.000,,1.200,230,3,28,,
T,2018-12-22 10:17:55,30.39942190,78.07655414,26,857.000,,1.200,233,3,28,,
T,2018-12-22 10:17:56,30.39941689,78.07654281,26,857.000,,1.200,235,3,28,,
T,2018-12-22 10:17:57,30.39941266,78.07653091,26,857.000,,1.200,238,3,28,,
T,2018-12-22 10:17:58,30.39940867,78.07651891,26,857.000,,1.200,240,3,28,,
T,2018-12-22 10:17:59,30.39940528,78.07650661,26,857.000,,1.200,245,3,28,,
T,2018-12-22 10:18:00,30.39940108,78.07649488,26,857.000,,1.200,240,3,28,,
T,2018-12-22 10:18:01,30.39939574,78.07648393,26,857.000,,1.200,238,2,27,,
T,2018-12-22 10:18:02,30.39939022,78.07647314,26,857.000,,1.200,243,2,28,,
T,2018-12-22 10:18:03,30.39938681,78.07646157,26,856.000,,1.200,262,2,28,,
T,2018-12-22 10:18:04,30.39938960,78.07645007,26,856.000,,1.200,298,2,28,,
T,2018-12-22 10:18:05,30.39939604,78.07643963,26,856.000,,1.200,304,2,28,,
T,2018-12-22 10:18:06,30.39940314,78.07642983,26,856.000,,1.200,308,4,28,,
T,2018-12-22 10:18:07,30.39940913,78.07641931,26,856.000,,1.200,297,5,28,,
T,2018-12-22 10:18:08,30.39941102,78.07640717,27,856.000,,1.200,271,5,28,,
T,2018-12-22 10:18:09,30.39940974,78.07639452,27,856.000,,1.200,263,5,28,,
T,2018-12-22 10:18:10,30.39939187,78.07638607,23,859.000,,1.200,243,7,28,,
T,2018-12-22 10:18:11,30.39938821,78.07637520,27,859.000,,1.210,236,7,28,,
T,2018-12-22 10:18:12,30.39938782,78.07637677,21,882.000,,1.210,221,9,28,,
T,2018-12-22 10:18:13,30.39938291,78.07638304,21,883.000,,1.210,164,10,28,,
T,2018-12-22 10:18:14,30.39938436,78.07639295,23,885.000,,1.210,101,10,28,,
T,2018-12-22 10:18:15,30.39938228,78.07640147,21,882.000,,1.210,63,10,28,,
T,2018-12-22 10:18:16,30.39938660,78.07641021,32,878.000,,1.210,59,10,28,,
T,2018-12-22 10:18:17,30.39939045,78.07641980,29,880.000,,1.210,58,10,28,,
T,2018-12-22 10:18:18,30.39939602,78.07642880,24,881.000,,1.210,46,10,27,,
T,2018-12-22 10:18:19,30.39940283,78.07643534,24,879.000,,0.600,40,10,27,,
T,2018-12-22 10:18:20,30.39940490,78.07643598,23,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:21,30.39940489,78.07643529,21,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:22,30.39940493,78.07643503,21,880.000,,0.000,,10,27,,
T,2018-12-22 10:18:23,30.39940493,78.07643491,23,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:24,30.39940493,78.07643483,26,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:25,30.39940490,78.07643477,29,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:26,30.39940490,78.07643418,36,879.000,,0.000,,10,27,,
T,2018-12-22 10:18:27,30.39940533,78.07643388,42,878.000,,0.000,,11,27,,
T,2018-12-22 10:18:28,30.39940615,78.07643338,42,879.000,,0.000,,11,27,,
T,2018-12-22 10:18:29,30.39940779,78.07643303,49,879.000,,0.000,,11,27,,
T,2018-12-22 10:18:30,30.39940904,78.07643333,56,879.000,,0.000,,11,27,,
T,2018-12-22 10:18:31,30.39940981,78.07643389,70,878.000,,0.000,,11,27,,
T,2018-12-22 10:18:32,30.39941032,78.07643412,74,878.000,,0.000,,11,27,,
T,2018-12-22 10:18:33,30.39941370,78.07644045,74,878.000,,1.220,63,11,27,,
T,2018-12-22 10:18:34,30.39942207,78.07644953,74,879.000,,1.220,35,11,28,,
T,2018-12-22 10:18:35,30.39943290,78.07645483,74,879.000,,1.220,22,10,28,,
T,2018-12-22 10:18:36,30.39944448,78.07645464,76,879.000,,1.220,352,10,28,,
T,2018-12-22 10:18:37,30.39945001,78.07644773,76,879.000,,0.000,,10,28,,
T,2018-12-22 10:18:38,30.39944963,78.07643573,74,879.000,,1.220,259,9,28,,
T,2018-12-22 10:18:39,30.39944841,78.07641865,73,879.000,,1.220,246,9,28,,
T,2018-12-22 10:18:40,30.39944512,78.07640364,73,879.000,,1.220,247,9,28,,
T,2018-12-22 10:18:41,30.39944241,78.07638983,73,879.000,,1.220,254,9,27,,
T,2018-12-22 10:18:42,30.39943440,78.07637519,73,879.000,,1.230,238,10,28,,
T,2018-12-22 10:18:43,30.39942109,78.07636335,93,878.000,,1.230,216,10,28,,
T,2018-12-22 10:18:44,30.39940710,78.07635679,91,878.000,,1.230,190,9,27,,
T,2018-12-22 10:18:45,30.39939335,78.07635824,86,878.000,,1.230,159,9,28,,
T,2018-12-22 10:18:46,30.39938768,78.07636379,88,878.000,,0.000,,9,28,,
T,2018-12-22 10:18:47,30.39938988,78.07637380,86,878.000,,1.230,92,8,28,,
T,2018-12-22 10:18:48,30.39938918,78.07639847,80,875.000,,1.230,63,8,28,,
T,2018-12-22 10:18:49,30.39939252,78.07641509,82,876.000,,1.230,40,8,28,,
T,2018-12-22 10:18:50,30.39939183,78.07642637,76,877.000,,1.230,53,7,28,,
T,2018-12-22 10:18:51,30.39939400,78.07643753,73,877.000,,1.230,54,7,28,,
T,2018-12-22 10:18:52,30.39939571,78.07644961,71,877.000,,1.230,51,7,28,,
T,2018-12-22 10:18:53,30.39939930,78.07646027,71,877.000,,1.230,36,7,28,,
T,2018-12-22 10:18:54,30.39940688,78.07646242,71,877.000,,1.230,349,7,28,,
T,2018-12-22 10:18:55,30.39941230,78.07645341,73,877.000,,1.230,293,7,28,,
T,2018-12-22 10:18:56,30.39941206,78.07643961,73,877.000,,1.230,267,7,28,,
T,2018-12-22 10:18:57,30.39940877,78.07642599,73,877.000,,1.230,258,7,28,,
T,2018-12-22 10:18:58,30.39940508,78.07641283,73,877.000,,1.230,257,7,28,,
T,2018-12-22 10:18:59,30.39940173,78.07639976,73,876.000,,1.230,255,7,28,,
T,2018-12-22 10:19:00,30.39939870,78.07638673,73,877.000,,1.230,256,7,28,,
T,2018-12-22 10:19:01,30.39939883,78.07637803,73,877.000,,1.230,263,7,28,,
T,2018-12-22 10:19:02,30.39940011,78.07636968,73,877.000,,1.230,262,8,28,,
T,2018-12-22 10:19:03,30.39938640,78.07641470,56,861.000,,1.230,221,10,27,,
T,2018-12-22 10:19:04,30.39938177,78.07644654,24,857.000,,1.230,262,11,28,,
T,2018-12-22 10:19:05,30.39938091,78.07646252,17,854.000,,1.230,277,14,28,,
T,2018-12-22 10:19:06,30.39939001,78.07648134,11,856.000,,1.230,301,15,28,,
T,2018-12-22 10:19:07,30.39939474,78.07648712,9,857.000,,1.220,333,16,28,,
T,2018-12-22 10:19:08,30.39939681,78.07649862,8,857.000,,0.000,,16,28,,
T,2018-12-22 10:19:09,30.39939468,78.07650505,8,857.000,,0.000,,16,28,,
T,2018-12-22 10:19:10,30.39939353,78.07650800,8,857.000,,0.000,,16,28,,
T,2018-12-22 10:19:11,30.39938140,78.07649829,6,859.000,,0.000,,16,28,,
T,2018-12-22 10:19:12,30.39937468,78.07649322,6,859.000,,0.000,,16,28,,
T,2018-12-22 10:19:13,30.39937133,78.07649078,6,859.000,,0.000,,17,28,,
