type,time,latitude,longitude,accuracy (m),altitude (m),speed (m/s),bearing (deg),sat_used,sat_inview,desc
W,12/22/2018 10:19,30.39939474,78.07648712,9,857,1.22,333,16,28,Vedanta
W,12/22/2018 10:22,30.3995229,78.07620443,5,856,1.2,346,22,34,Vastu
T,12/22/2018 10:17,30.39945128,78.07659963,20,861,0,,7,28,GPS Logger: 20181222-154745
T,12/22/2018 10:17,30.39945147,78.0765998,20,854,0,,7,28,
T,12/22/2018 10:17,30.39945153,78.07659986,21,854,0,,6,27,
T,12/22/2018 10:17,30.39945156,78.07659989,21,855,0,,5,27,
T,12/22/2018 10:17,30.39945158,78.0765999,23,855,0,,3,26,
T,12/22/2018 10:17,30.3994516,78.07659992,24,855,0,,3,26,
T,12/22/2018 10:17,30.39944817,78.07659462,26,856,1.2,233,3,28,
T,12/22/2018 10:17,30.39944157,78.0765844,26,856,1.2,233,3,28,
T,12/22/2018 10:17,30.39943473,78.0765745,26,856,1.2,230,3,28,
T,12/22/2018 10:17,30.39942797,78.0765646,26,856,1.2,230,3,28,
T,12/22/2018 10:17,30.3994219,78.07655414,26,857,1.2,233,3,28,
T,12/22/2018 10:17,30.39941689,78.07654281,26,857,1.2,235,3,28,
T,12/22/2018 10:17,30.39941266,78.07653091,26,857,1.2,238,3,28,
T,12/22/2018 10:17,30.39940867,78.07651891,26,857,1.2,240,3,28,
T,12/22/2018 10:17,30.39940528,78.07650661,26,857,1.2,245,3,28,
T,12/22/2018 10:18,30.39940108,78.07649488,26,857,1.2,240,3,28,
T,12/22/2018 10:18,30.39939574,78.07648393,26,857,1.2,238,2,27,
T,12/22/2018 10:18,30.39939022,78.07647314,26,857,1.2,243,2,28,
T,12/22/2018 10:18,30.39938681,78.07646157,26,856,1.2,262,2,28,
T,12/22/2018 10:18,30.3993896,78.07645007,26,856,1.2,298,2,28,
T,12/22/2018 10:18,30.39939604,78.07643963,26,856,1.2,304,2,28,
T,12/22/2018 10:18,30.39940314,78.07642983,26,856,1.2,308,4,28,
T,12/22/2018 10:18,30.39940913,78.07641931,26,856,1.2,297,5,28,
T,12/22/2018 10:18,30.39941102,78.07640717,27,856,1.2,271,5,28,
T,12/22/2018 10:18,30.39940974,78.07639452,27,856,1.2,263,5,28,
T,12/22/2018 10:18,30.39939187,78.07638607,23,859,1.2,243,7,28,
T,12/22/2018 10:18,30.39938821,78.0763752,27,859,1.21,236,7,28,
T,12/22/2018 10:18,30.39938782,78.07637677,21,882,1.21,221,9,28,
T,12/22/2018 10:18,30.39938291,78.07638304,21,883,1.21,164,10,28,
T,12/22/2018 10:18,30.39938436,78.07639295,23,885,1.21,101,10,28,
T,12/22/2018 10:18,30.39938228,78.07640147,21,882,1.21,63,10,28,
T,12/22/2018 10:18,30.3993866,78.07641021,32,878,1.21,59,10,28,
T,12/22/2018 10:18,30.39939045,78.0764198,29,880,1.21,58,10,28,
T,12/22/2018 10:18,30.39939602,78.0764288,24,881,1.21,46,10,27,
T,12/22/2018 10:18,30.39940283,78.07643534,24,879,0.6,40,10,27,
T,12/22/2018 10:18,30.3994049,78.07643598,23,879,0,,10,27,
T,12/22/2018 10:18,30.39940489,78.07643529,21,879,0,,10,27,
T,12/22/2018 10:18,30.39940493,78.07643503,21,880,0,,10,27,
T,12/22/2018 10:18,30.39940493,78.07643491,23,879,0,,10,27,
T,12/22/2018 10:18,30.39940493,78.07643483,26,879,0,,10,27,
T,12/22/2018 10:18,30.3994049,78.07643477,29,879,0,,10,27,
T,12/22/2018 10:18,30.3994049,78.07643418,36,879,0,,10,27,
T,12/22/2018 10:18,30.39940533,78.07643388,42,878,0,,11,27,
T,12/22/2018 10:18,30.39940615,78.07643338,42,879,0,,11,27,
T,12/22/2018 10:18,30.39940779,78.07643303,49,879,0,,11,27,
T,12/22/2018 10:18,30.39940904,78.07643333,56,879,0,,11,27,
T,12/22/2018 10:18,30.39940981,78.07643389,70,878,0,,11,27,
T,12/22/2018 10:18,30.39941032,78.07643412,74,878,0,,11,27,
T,12/22/2018 10:18,30.3994137,78.07644045,74,878,1.22,63,11,27,
T,12/22/2018 10:18,30.39942207,78.07644953,74,879,1.22,35,11,28,
T,12/22/2018 10:18,30.3994329,78.07645483,74,879,1.22,22,10,28,
T,12/22/2018 10:18,30.39944448,78.07645464,76,879,1.22,352,10,28,
T,12/22/2018 10:18,30.39945001,78.07644773,76,879,0,,10,28,
T,12/22/2018 10:18,30.39944963,78.07643573,74,879,1.22,259,9,28,
T,12/22/2018 10:18,30.39944841,78.07641865,73,879,1.22,246,9,28,
T,12/22/2018 10:18,30.39944512,78.07640364,73,879,1.22,247,9,28,
T,12/22/2018 10:18,30.39944241,78.07638983,73,879,1.22,254,9,27,
T,12/22/2018 10:18,30.3994344,78.07637519,73,879,1.23,238,10,28,
T,12/22/2018 10:18,30.39942109,78.07636335,93,878,1.23,216,10,28,
T,12/22/2018 10:18,30.3994071,78.07635679,91,878,1.23,190,9,27,
T,12/22/2018 10:18,30.39939335,78.07635824,86,878,1.23,159,9,28,
T,12/22/2018 10:18,30.39938768,78.07636379,88,878,0,,9,28,
T,12/22/2018 10:18,30.39938988,78.0763738,86,878,1.23,92,8,28,
T,12/22/2018 10:18,30.39938918,78.07639847,80,875,1.23,63,8,28,
T,12/22/2018 10:18,30.39939252,78.07641509,82,876,1.23,40,8,28,
T,12/22/2018 10:18,30.39939183,78.07642637,76,877,1.23,53,7,28,
T,12/22/2018 10:18,30.399394,78.07643753,73,877,1.23,54,7,28,
T,12/22/2018 10:18,30.39939571,78.07644961,71,877,1.23,51,7,28,
T,12/22/2018 10:18,30.3993993,78.07646027,71,877,1.23,36,7,28,
T,12/22/2018 10:18,30.39940688,78.07646242,71,877,1.23,349,7,28,
T,12/22/2018 10:18,30.3994123,78.07645341,73,877,1.23,293,7,28,
T,12/22/2018 10:18,30.39941206,78.07643961,73,877,1.23,267,7,28,
T,12/22/2018 10:18,30.39940877,78.07642599,73,877,1.23,258,7,28,
T,12/22/2018 10:18,30.39940508,78.07641283,73,877,1.23,257,7,28,
T,12/22/2018 10:18,30.39940173,78.07639976,73,876,1.23,255,7,28,
T,12/22/2018 10:19,30.3993987,78.07638673,73,877,1.23,256,7,28,
T,12/22/2018 10:19,30.39939883,78.07637803,73,877,1.23,263,7,28,
T,12/22/2018 10:19,30.39940011,78.07636968,73,877,1.23,262,8,28,
T,12/22/2018 10:19,30.3993864,78.0764147,56,861,1.23,221,10,27,
T,12/22/2018 10:19,30.39938177,78.07644654,24,857,1.23,262,11,28,
T,12/22/2018 10:19,30.39938091,78.07646252,17,854,1.23,277,14,28,
T,12/22/2018 10:19,30.39939001,78.07648134,11,856,1.23,301,15,28,
T,12/22/2018 10:19,30.39939474,78.07648712,9,857,1.22,333,16,28,
T,12/22/2018 10:19,30.39939681,78.07649862,8,857,0,,16,28,
T,12/22/2018 10:19,30.39939468,78.07650505,8,857,0,,16,28,
T,12/22/2018 10:19,30.39939353,78.076508,8,857,0,,16,28,
T,12/22/2018 10:19,30.3993814,78.07649829,6,859,0,,16,28,
T,12/22/2018 10:19,30.39937468,78.07649322,6,859,0,,16,28,
T,12/22/2018 10:19,30.39937133,78.07649078,6,859,0,,17,28,
T,12/22/2018 10:19,30.39936965,78.07648964,6,859,0,,17,29,
T,12/22/2018 10:19,30.39936882,78.07648908,5,859,0,,16,29,
T,12/22/2018 10:19,30.39936838,78.07648884,5,859,0,,19,29,
T,12/22/2018 10:19,30.3993682,78.07648871,5,859,0,,19,29,
T,12/22/2018 10:19,30.39936812,78.07648858,5,859,0,,19,29,
T,12/22/2018 10:19,30.39936811,78.07648842,5,859,0,,19,29,
T,12/22/2018 10:19,30.39936808,78.07648835,5,859,0,,19,29,
T,12/22/2018 10:19,30.39936804,78.0764883,5,859,0,,19,29,
T,12/22/2018 10:19,30.39936783,78.07648818,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936752,78.07648801,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936727,78.07648787,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936713,78.07648781,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936707,78.07648778,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936703,78.0764878,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936709,78.07648787,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936705,78.07648786,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936702,78.07648777,6,859,0,,19,29,
T,12/22/2018 10:19,30.39936691,78.07648766,8,859,0,,19,29,
T,12/22/2018 10:19,30.39936353,78.07648444,6,859,0.27,343,19,29,
T,12/22/2018 10:19,30.399366,78.07648405,6,856,1.22,348,19,29,
T,12/22/2018 10:19,30.39937642,78.07647916,5,856,1.23,338,19,30,
