type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-03-23 02:59:07,30.32255923,78.06964806,5,635.000,,6.650,273,24,33,20190323-082907,GPS Logger: 20190323-082907
T,2019-03-23 02:59:08,30.32256775,78.06958478,5,631.000,,6.810,270,24,33,,
T,2019-03-23 02:59:09,30.32257615,78.06951850,5,632.000,,6.480,269,25,33,,
T,2019-03-23 02:59:10,30.32258422,78.06944694,5,633.000,,6.470,268,25,33,,
T,2019-03-23 02:59:11,30.32258292,78.06937838,5,633.000,,6.610,268,25,33,,
T,2019-03-23 02:59:12,30.32258190,78.06930985,5,635.000,,6.530,267,25,33,,
T,2019-03-23 02:59:13,30.32258328,78.06923986,5,634.000,,6.500,269,25,33,,
T,2019-03-23 02:59:14,30.32258010,78.06917273,5,634.000,,6.410,268,25,33,,
T,2019-03-23 02:59:15,30.32258133,78.06910064,5,634.000,,6.520,274,15,19,,
T,2019-03-23 02:59:16,30.32258490,78.06903171,5,635.000,,6.550,273,12,16,,
T,2019-03-23 02:59:17,30.32258812,78.06896367,5,635.000,,6.550,273,12,16,,
T,2019-03-23 02:59:18,30.32260457,78.06888969,5,635.000,,6.510,276,13,19,,
T,2019-03-23 02:59:19,30.32260796,78.06882540,5,636.000,,6.360,277,14,19,,
T,2019-03-23 02:59:20,30.32261236,78.06875818,5,636.000,,6.360,275,14,18,,
T,2019-03-23 02:59:21,30.32261178,78.06868947,5,636.000,,6.250,277,10,15,,
T,2019-03-23 02:59:22,30.32262705,78.06863749,5,635.000,,6.080,275,10,18,,
T,2019-03-23 02:59:23,30.32263173,78.06857442,5,635.000,,6.080,275,10,18,,
T,2019-03-23 02:59:24,30.32263406,78.06850640,5,636.000,,6.270,274,15,19,,
T,2019-03-23 02:59:25,30.32263392,78.06843775,5,636.000,,6.310,272,14,18,,
T,2019-03-23 02:59:26,30.32262682,78.06837087,5,637.000,,6.380,271,14,19,,
T,2019-03-23 02:59:27,30.32263014,78.06830580,5,636.000,,6.630,276,12,17,,
T,2019-03-23 02:59:28,30.32262906,78.06822737,5,636.000,,6.820,275,11,17,,
T,2019-03-23 02:59:29,30.32264334,78.06816592,5,636.000,,6.140,285,14,18,,
T,2019-03-23 02:59:30,30.32265438,78.06810337,8,635.000,,6.130,288,14,18,,
T,2019-03-23 02:59:31,30.32266900,78.06802178,5,636.000,,7.070,286,13,18,,
T,2019-03-23 02:59:32,30.32268601,78.06794546,5,636.000,,7.110,288,12,18,,
T,2019-03-23 02:59:33,30.32270640,78.06786516,6,635.000,,7.450,289,13,18,,
T,2019-03-23 02:59:34,30.32273146,78.06780025,5,634.000,,7.750,290,12,17,,
T,2019-03-23 02:59:35,30.32275244,78.06772197,5,633.000,,7.840,290,13,19,,
T,2019-03-23 02:59:36,30.32276987,78.06764573,5,632.000,,7.710,289,13,18,,
T,2019-03-23 02:59:37,30.32279270,78.06756770,5,633.000,,7.860,289,11,16,,
T,2019-03-23 02:59:38,30.32281267,78.06749759,5,633.000,,8.000,288,12,18,,
T,2019-03-23 02:59:39,30.32283327,78.06741698,5,632.000,,7.800,289,12,18,,
T,2019-03-23 02:59:40,30.32286161,78.06734627,5,632.000,,6.320,287,11,17,,
T,2019-03-23 02:59:41,30.32287916,78.06728365,5,632.000,,6.320,289,11,17,,
T,2019-03-23 02:59:42,30.32288887,78.06726485,6,632.000,,2.860,292,15,19,,
T,2019-03-23 02:59:43,30.32289114,78.06724389,5,632.000,,2.360,294,11,15,,
T,2019-03-23 02:59:44,30.32289790,78.06722055,6,632.000,,2.350,296,11,15,,
T,2019-03-23 02:59:45,30.32290677,78.06719049,5,632.000,,2.890,295,11,17,,
T,2019-03-23 02:59:46,30.32292146,78.06716035,5,632.000,,3.210,294,13,19,,
T,2019-03-23 02:59:47,30.32293928,78.06712794,5,632.000,,3.090,297,10,15,,
T,2019-03-23 02:59:48,30.32295140,78.06709898,5,632.000,,3.090,291,10,15,,
T,2019-03-23 02:59:49,30.32296092,78.06707439,5,631.000,,2.430,289,12,18,,
T,2019-03-23 02:59:50,30.32296824,78.06705103,5,631.000,,2.430,286,12,18,,
T,2019-03-23 02:59:51,30.32296985,78.06703233,5,631.000,,2.250,287,12,17,,
T,2019-03-23 02:59:52,30.32297564,78.06701006,5,631.000,,2.240,287,12,17,,
T,2019-03-23 02:59:53,30.32296864,78.06702901,5,631.000,,0.000,,12,18,,
T,2019-03-23 02:59:54,30.32296785,78.06702730,5,631.000,,0.580,287,12,17,,
T,2019-03-23 02:59:55,30.32296730,78.06702211,5,632.000,,0.660,287,12,19,,
T,2019-03-23 02:59:56,30.32296967,78.06701404,5,632.000,,0.660,287,12,19,,
T,2019-03-23 02:59:57,30.32298105,78.06698839,5,632.000,,1.500,289,12,16,,
T,2019-03-23 02:59:58,30.32298181,78.06697538,5,633.000,,1.020,288,12,17,,
T,2019-03-23 02:59:59,30.32298359,78.06696479,5,633.000,,1.010,288,12,17,,
T,2019-03-23 03:00:00,30.32297144,78.06696209,5,634.000,,0.000,,10,14,,
T,2019-03-23 03:00:01,30.32297060,78.06696224,5,635.000,,0.000,,10,14,,
T,2019-03-23 03:00:02,30.32297365,78.06693618,5,634.000,,1.450,291,14,18,,
T,2019-03-23 03:00:03,30.32297363,78.06691880,5,634.000,,1.540,291,14,18,,
T,2019-03-23 03:00:04,30.32297714,78.06690306,5,634.000,,1.530,289,14,18,,
T,2019-03-23 03:00:05,30.32298779,78.06688032,5,634.000,,2.170,286,14,19,,
T,2019-03-23 03:00:06,30.32299295,78.06686022,5,633.000,,1.590,285,14,18,,
T,2019-03-23 03:00:07,30.32299883,78.06684068,6,633.000,,1.590,284,14,18,,
T,2019-03-23 03:00:08,30.32299767,78.06682887,5,632.000,,1.730,281,15,19,,
T,2019-03-23 03:00:09,30.32299426,78.06681526,5,633.000,,0.890,281,15,19,,
T,2019-03-23 03:00:10,30.32299397,78.06680492,5,633.000,,0.910,286,12,16,,
T,2019-03-23 03:00:11,30.32298873,78.06678702,5,634.000,,1.430,291,13,17,,
T,2019-03-23 03:00:12,30.32299351,78.06676770,5,634.000,,2.190,291,12,18,,
T,2019-03-23 03:00:13,30.32299827,78.06674552,5,634.000,,2.530,288,13,19,,
T,2019-03-23 03:00:14,30.32300399,78.06672145,5,634.000,,2.530,287,13,19,,
T,2019-03-23 03:00:15,30.32301405,78.06668829,5,635.000,,3.470,285,12,18,,
T,2019-03-23 03:00:16,30.32302462,78.06664954,5,635.000,,3.920,277,13,17,,
T,2019-03-23 03:00:17,30.32303183,78.06660235,5,635.000,,4.560,278,12,18,,
T,2019-03-23 03:00:18,30.32303382,78.06658141,5,635.000,,2.150,278,12,18,,
T,2019-03-23 03:00:19,30.32303622,78.06656151,5,636.000,,0.620,281,7,33,,
T,2019-03-23 03:00:20,30.32303997,78.06654370,5,636.000,,2.010,282,14,33,,
T,2019-03-23 03:00:21,30.32308261,78.06636513,6,637.000,,6.390,288,16,33,,
T,2019-03-23 03:00:22,30.32310117,78.06629738,5,637.000,,6.710,287,12,16,,
T,2019-03-23 03:00:23,30.32311833,78.06623230,5,638.000,,6.750,286,12,16,,
T,2019-03-23 03:00:24,30.32313461,78.06616401,5,638.000,,6.810,291,15,19,,
T,2019-03-23 03:00:25,30.32315375,78.06609026,5,637.000,,7.410,289,13,17,,
T,2019-03-23 03:00:26,30.32318672,78.06600733,5,639.000,,7.780,289,10,16,,
T,2019-03-23 03:00:27,30.32320259,78.06592321,5,639.000,,8.020,290,11,18,,
T,2019-03-23 03:00:28,30.32324573,78.06585499,5,637.000,,8.250,290,11,18,,
T,2019-03-23 03:00:29,30.32326540,78.06576878,5,637.000,,8.310,289,13,18,,
T,2019-03-23 03:00:30,30.32328717,78.06568859,5,637.000,,8.330,290,11,17,,
T,2019-03-23 03:00:31,30.32331580,78.06561085,5,636.000,,8.220,290,12,19,,
T,2019-03-23 03:00:32,30.32334072,78.06553533,5,636.000,,7.830,290,11,18,,
T,2019-03-23 03:00:33,30.32337351,78.06545990,5,636.000,,7.250,291,11,18,,
T,2019-03-23 03:00:34,30.32339103,78.06538791,5,636.000,,6.710,289,13,19,,
