type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-03-25 02:54:12,30.31022245,78.09320606,6,620.000,,0.000,,20,35,20190325-082412,GPS Logger: 20190325-082412
T,2019-03-25 02:54:13,30.31022414,78.09322033,5,624.000,,0.000,,20,35,,
T,2019-03-25 02:54:14,30.31024634,78.09315328,5,628.000,,3.310,285,20,35,,
T,2019-03-25 02:54:15,30.31025360,78.09308668,5,628.000,,3.690,289,21,35,,
T,2019-03-25 02:54:16,30.31027529,78.09302234,5,627.000,,4.370,289,21,35,,
T,2019-03-25 02:54:17,30.31029276,78.09296743,5,628.000,,5.600,288,23,32,,
T,2019-03-25 02:54:18,30.31031519,78.09292371,5,621.000,,5.900,286,23,32,,
T,2019-03-25 02:54:19,30.31032032,78.09287181,5,623.000,,5.850,286,23,32,,
T,2019-03-25 02:54:20,30.31033899,78.09282104,5,624.000,,5.860,292,23,32,,
T,2019-03-25 02:54:21,30.31035607,78.09275538,5,624.000,,6.070,289,24,32,,
T,2019-03-25 02:54:22,30.31037127,78.09268827,6,625.000,,6.230,288,24,32,,
T,2019-03-25 02:54:23,30.31038286,78.09262666,6,625.000,,6.470,285,24,32,,
T,2019-03-25 02:54:24,30.31039189,78.09255410,8,625.000,,6.930,283,24,32,,
T,2019-03-25 02:54:25,30.31038938,78.09245302,6,625.000,,7.420,284,24,32,,
T,2019-03-25 02:54:26,30.31043240,78.09236160,6,626.000,,7.730,291,24,32,,
T,2019-03-25 02:54:27,30.31043316,78.09227630,6,623.000,,7.930,293,24,32,,
T,2019-03-25 02:54:28,30.31047789,78.09219736,8,623.000,,8.190,297,24,32,,
T,2019-03-25 02:54:29,30.31055050,78.09213875,8,624.000,,8.250,305,24,32,,
T,2019-03-25 02:54:30,30.31059579,78.09205679,8,623.000,,8.480,304,24,32,,
T,2019-03-25 02:54:31,30.31065543,78.09198634,6,623.000,,8.600,306,23,32,,
T,2019-03-25 02:54:32,30.31071746,78.09191890,6,624.000,,8.760,307,23,32,,
T,2019-03-25 02:54:33,30.31075479,78.09182294,6,621.000,,8.870,306,23,32,,
T,2019-03-25 02:54:34,30.31081215,78.09174623,6,620.000,,9.280,308,24,32,,
T,2019-03-25 02:54:35,30.31086154,78.09166338,5,619.000,,9.300,307,23,32,,
T,2019-03-25 02:54:36,30.31091085,78.09159422,5,617.000,,9.430,305,23,32,,
T,2019-03-25 02:54:37,30.31096127,78.09151676,5,617.000,,9.230,304,23,32,,
T,2019-03-25 02:54:38,30.31101134,78.09143797,6,617.000,,9.260,304,23,32,,
T,2019-03-25 02:54:39,30.31105786,78.09135986,6,617.000,,8.990,304,23,32,,
T,2019-03-25 02:54:40,30.31110665,78.09128266,6,617.000,,8.950,302,24,32,,
T,2019-03-25 02:54:41,30.31114706,78.09121052,6,619.000,,8.150,299,25,32,,
T,2019-03-25 02:54:42,30.31120167,78.09113552,5,621.000,,8.570,300,25,32,,
T,2019-03-25 02:54:43,30.31124446,78.09107435,6,621.000,,8.270,301,25,32,,
T,2019-03-25 02:54:44,30.31128460,78.09101458,6,620.000,,7.820,304,25,32,,
T,2019-03-25 02:54:45,30.31133280,78.09093128,6,620.000,,7.800,302,25,32,,
T,2019-03-25 02:54:46,30.31137208,78.09086153,5,621.000,,7.400,301,25,32,,
T,2019-03-25 02:54:47,30.31141874,78.09079518,6,621.000,,7.480,302,25,32,,
T,2019-03-25 02:54:48,30.31144174,78.09073114,6,619.000,,6.990,301,25,32,,
T,2019-03-25 02:54:49,30.31147345,78.09069462,6,620.000,,6.070,304,25,32,,
T,2019-03-25 02:54:50,30.31152342,78.09062954,5,621.000,,6.830,306,25,32,,
T,2019-03-25 02:54:51,30.31155986,78.09056156,5,621.000,,7.610,306,25,32,,
T,2019-03-25 02:54:52,30.31159844,78.09048769,5,621.000,,7.590,307,24,32,,
T,2019-03-25 02:54:53,30.31162644,78.09043587,5,622.000,,6.600,304,24,32,,
T,2019-03-25 02:54:54,30.31165618,78.09036133,6,621.000,,6.870,304,24,32,,
T,2019-03-25 02:54:55,30.31170143,78.09029811,8,620.000,,7.030,303,24,32,,
T,2019-03-25 02:54:56,30.31173720,78.09024302,6,620.000,,7.000,301,24,32,,
T,2019-03-25 02:54:57,30.31176852,78.09015183,6,620.000,,7.430,298,24,32,,
T,2019-03-25 02:54:58,30.31179603,78.09007856,8,620.000,,7.600,299,24,32,,
T,2019-03-25 02:54:59,30.31182200,78.08999377,8,619.000,,7.680,298,25,32,,
T,2019-03-25 02:55:00,30.31186371,78.08992729,8,619.000,,7.660,296,25,32,,
T,2019-03-25 02:55:01,30.31189783,78.08984781,6,620.000,,7.540,293,24,32,,
T,2019-03-25 02:55:02,30.31193214,78.08978905,6,623.000,,6.960,295,24,32,,
T,2019-03-25 02:55:03,30.31196277,78.08972607,6,622.000,,7.260,295,25,32,,
T,2019-03-25 02:55:04,30.31199362,78.08964916,6,623.000,,7.820,296,24,32,,
T,2019-03-25 02:55:05,30.31202371,78.08955901,5,624.000,,8.200,297,24,32,,
T,2019-03-25 02:55:06,30.31205907,78.08948168,5,624.000,,8.080,298,24,32,,
T,2019-03-25 02:55:07,30.31210289,78.08940954,5,626.000,,8.120,300,25,32,,
T,2019-03-25 02:55:08,30.31212946,78.08934436,5,626.000,,7.910,300,25,32,,
T,2019-03-25 02:55:09,30.31216241,78.08925809,5,625.000,,8.870,298,25,32,,
T,2019-03-25 02:55:10,30.31219706,78.08917195,5,625.000,,9.030,298,24,32,,
T,2019-03-25 02:55:11,30.31223820,78.08908921,5,624.000,,9.060,297,24,32,,
T,2019-03-25 02:55:12,30.31229757,78.08899773,5,626.000,,10.160,298,24,32,,
T,2019-03-25 02:55:13,30.31233917,78.08893577,5,626.000,,8.430,297,24,32,,
T,2019-03-25 02:55:14,30.31237183,78.08885119,5,626.000,,8.450,296,24,32,,
T,2019-03-25 02:55:15,30.31239708,78.08879599,5,625.000,,7.470,298,25,32,,
T,2019-03-25 02:55:16,30.31241828,78.08875267,5,623.000,,5.680,297,25,32,,
T,2019-03-25 02:55:17,30.31244233,78.08869708,5,622.000,,5.880,296,25,32,,
T,2019-03-25 02:55:18,30.31245809,78.08864960,5,623.000,,5.220,297,25,32,,
T,2019-03-25 02:55:19,30.31247518,78.08860787,5,623.000,,4.320,298,25,32,,
T,2019-03-25 02:55:20,30.31249238,78.08857778,5,625.000,,3.610,299,25,32,,
T,2019-03-25 02:55:21,30.31251510,78.08854523,5,624.000,,3.930,298,25,32,,
T,2019-03-25 02:55:22,30.31253701,78.08850641,5,626.000,,4.100,299,25,32,,
T,2019-03-25 02:55:23,30.31254721,78.08847464,5,625.000,,4.250,300,25,32,,
T,2019-03-25 02:55:24,30.31256753,78.08843124,5,625.000,,4.490,301,25,32,,
T,2019-03-25 02:55:25,30.31259160,78.08838807,5,625.000,,4.740,302,25,32,,
T,2019-03-25 02:55:26,30.31261442,78.08833878,6,626.000,,5.350,299,25,32,,
T,2019-03-25 02:55:27,30.31263167,78.08828617,5,626.000,,5.000,298,25,32,,
T,2019-03-25 02:55:28,30.31264154,78.08824704,5,624.000,,3.850,299,25,32,,
T,2019-03-25 02:55:29,30.31266414,78.08820046,6,624.000,,4.720,298,25,32,,
T,2019-03-25 02:55:30,30.31269203,78.08814482,8,623.000,,5.240,298,24,32,,
T,2019-03-25 02:55:31,30.31271680,78.08810456,6,624.000,,5.310,299,24,32,,
T,2019-03-25 02:55:32,30.31274003,78.08803615,6,625.000,,5.180,299,24,32,,
T,2019-03-25 02:55:33,30.31276728,78.08797685,8,626.000,,5.560,299,25,32,,
T,2019-03-25 02:55:34,30.31279179,78.08791958,6,626.000,,5.790,299,25,32,,
T,2019-03-25 02:55:35,30.31281073,78.08784163,5,627.000,,6.350,299,25,32,,
T,2019-03-25 02:55:36,30.31285799,78.08777616,6,628.000,,5.790,306,25,32,,
T,2019-03-25 02:55:37,30.31289514,78.08772178,6,628.000,,6.420,307,14,31,,
T,2019-03-25 02:55:38,30.31293331,78.08766488,8,629.000,,6.780,310,14,32,,
T,2019-03-25 02:55:39,30.31297887,78.08760521,8,630.000,,6.680,312,14,32,,
T,2019-03-25 02:55:40,30.31302184,78.08750808,6,630.000,,7.700,312,13,18,,
T,2019-03-25 02:55:41,30.31305976,78.08741597,6,628.000,,8.240,312,9,15,,
T,2019-03-25 02:55:42,30.31310436,78.08735595,6,628.000,,8.570,312,10,16,,
T,2019-03-25 02:55:43,30.31316059,78.08728937,6,628.000,,8.510,312,13,32,,
T,2019-03-25 02:55:44,30.31321748,78.08721768,8,628.000,,9.080,313,14,19,,
T,2019-03-25 02:55:45,30.31327263,78.08714024,9,628.000,,9.260,312,12,17,,
T,2019-03-25 02:55:46,30.31332815,78.08706755,14,628.000,,9.280,310,12,17,,
T,2019-03-25 02:55:47,30.31337174,78.08701442,11,628.000,,8.390,307,8,32,,
T,2019-03-25 02:55:48,30.31343418,78.08695849,11,628.000,,8.510,307,8,32,,
T,2019-03-25 02:55:49,30.31348128,78.08688181,9,629.000,,7.910,307,12,32,,
T,2019-03-25 02:55:50,30.31352777,78.08681443,8,629.000,,8.680,307,13,32,,
T,2019-03-25 02:55:51,30.31359129,78.08674594,8,628.000,,8.690,307,21,32,,
T,2019-03-25 02:55:52,30.31363482,78.08668964,8,628.000,,7.730,307,22,32,,
T,2019-03-25 02:55:53,30.31368929,78.08662751,15,629.000,,8.110,308,22,32,,
T,2019-03-25 02:55:54,30.31374331,78.08655467,14,630.000,,8.230,307,22,32,,
T,2019-03-25 02:55:55,30.31380689,78.08648631,14,629.000,,8.420,306,24,32,,
T,2019-03-25 02:55:56,30.31384653,78.08642342,15,630.000,,7.740,305,24,32,,
T,2019-03-25 02:55:57,30.31389324,78.08631803,14,629.000,,8.130,305,24,32,,
T,2019-03-25 02:55:58,30.31392793,78.08620125,14,627.000,,8.790,303,24,32,,
T,2019-03-25 02:55:59,30.31398466,78.08611209,14,627.000,,9.310,303,25,32,,
T,2019-03-25 02:56:00,30.31402267,78.08603666,14,627.000,,8.760,302,25,32,,
T,2019-03-25 02:56:01,30.31406965,78.08595255,14,627.000,,8.640,303,25,32,,
T,2019-03-25 02:56:02,30.31411328,78.08586980,14,628.000,,8.590,304,25,32,,
T,2019-03-25 02:56:03,30.31415834,78.08579602,14,627.000,,8.650,304,25,32,,
