type,time,latitude,longitude,accuracy (m),altitude (m),speed (m/s),bearing (deg),sat_used,sat_inview,desc
W,12/22/2018 10:13,30.3988247,78.07545481,5,853,0,,24,31,Chanakya lawn
T,12/22/2018 10:06,30.39863786,78.07441129,9,839,1.17,227,22,28,GPS Logger: 20181222-153617
T,12/22/2018 10:06,30.39870904,78.07445943,8,833,0,,23,28,
T,12/22/2018 10:06,30.39871902,78.07448424,8,833,0,,23,28,
T,12/22/2018 10:06,30.39872904,78.074499,9,832,0,,23,28,
T,12/22/2018 10:06,30.39873371,78.07450166,8,829,0,,3,28,
T,12/22/2018 10:06,30.39873359,78.07450171,8,829,0,,3,28,
T,12/22/2018 10:06,30.39873362,78.07450176,6,829,0,,10,28,
T,12/22/2018 10:06,30.39873369,78.07450178,6,829,0,,11,28,
T,12/22/2018 10:06,30.39873373,78.07450183,6,829,0,,14,28,
T,12/22/2018 10:06,30.39873377,78.07450186,8,829,0,,14,28,
T,12/22/2018 10:06,30.39873382,78.07450185,9,829,0,,15,28,
T,12/22/2018 10:06,30.39873387,78.07450184,9,829,0,,15,28,
T,12/22/2018 10:06,30.39873384,78.07450181,9,829,0,,15,28,
T,12/22/2018 10:06,30.39873386,78.07450176,9,829,0,,15,28,
T,12/22/2018 10:06,30.39873392,78.0745018,9,829,0,,15,28,
T,12/22/2018 10:06,30.39873403,78.07450177,8,829,0,,16,28,
T,12/22/2018 10:06,30.39873418,78.07450184,9,829,0,,16,28,
T,12/22/2018 10:06,30.39873435,78.07450181,9,829,0,,19,28,
T,12/22/2018 10:06,30.39873463,78.07450176,8,829,0,,22,28,
T,12/22/2018 10:06,30.39869582,78.07448552,6,830,0.56,356,22,28,
T,12/22/2018 10:06,30.39869858,78.07448734,6,830,1.25,360,23,28,
T,12/22/2018 10:06,30.39869573,78.07448237,5,832,1,337,23,28,
T,12/22/2018 10:06,30.39869331,78.0744773,5,835,0.65,328,23,28,
T,12/22/2018 10:06,30.39869161,78.07446974,5,835,0.89,317,24,28,
T,12/22/2018 10:07,30.39868763,78.07446199,5,837,0.94,329,25,28,
T,12/22/2018 10:07,30.39868065,78.07445488,5,837,1.31,220,25,28,
T,12/22/2018 10:07,30.39866779,78.07445105,5,837,0.93,220,24,29,
T,12/22/2018 10:07,30.39865605,78.07445318,5,838,0.87,219,24,30,
T,12/22/2018 10:07,30.39864343,78.07445685,5,838,1.29,185,24,31,
T,12/22/2018 10:07,30.3986306,78.07445832,5,838,1.26,186,24,31,
T,12/22/2018 10:07,30.39862058,78.07445925,5,839,0.74,186,23,31,
T,12/22/2018 10:07,30.39861211,78.07445795,5,840,1.03,198,23,31,
T,12/22/2018 10:07,30.39860171,78.07445654,5,840,1.19,198,24,31,
T,12/22/2018 10:07,30.39859126,78.07445722,5,842,1.16,198,24,31,
T,12/22/2018 10:07,30.3985827,78.07446207,5,843,1.14,192,24,32,
T,12/22/2018 10:07,30.39857709,78.0744691,5,844,1.12,154,24,32,
T,12/22/2018 10:07,30.398572,78.07447829,5,845,1.1,188,23,32,
T,12/22/2018 10:07,30.39856546,78.07448615,5,845,1.1,177,24,32,
T,12/22/2018 10:07,30.39856337,78.07448647,5,846,1.09,204,23,32,
T,12/22/2018 10:07,30.39855921,78.07448551,5,847,1.09,195,23,32,
T,12/22/2018 10:07,30.39855296,78.07448669,5,848,1.07,173,23,32,
T,12/22/2018 10:07,30.39854542,78.07448477,5,848,1.1,176,23,32,
T,12/22/2018 10:07,30.39853495,78.07448136,5,849,1.1,199,22,32,
T,12/22/2018 10:07,30.39852674,78.07447875,5,849,1.09,179,22,31,
T,12/22/2018 10:07,30.39852532,78.07448034,5,849,1.12,177,22,31,
T,12/22/2018 10:07,30.39852182,78.07448852,5,850,1.12,180,22,31,
T,12/22/2018 10:07,30.39851529,78.0744893,5,849,1.11,188,22,31,
T,12/22/2018 10:07,30.3985078,78.07448914,5,850,1.1,180,22,31,
T,12/22/2018 10:07,30.39850101,78.07449045,5,849,1.09,181,22,31,
T,12/22/2018 10:07,30.39849486,78.07449046,5,849,1.08,184,22,31,
T,12/22/2018 10:07,30.39848647,78.07448901,5,848,1.07,202,22,31,
T,12/22/2018 10:07,30.3984793,78.07448617,5,847,1.06,196,22,31,
T,12/22/2018 10:07,30.39847119,78.07448516,5,847,1.08,187,22,31,
T,12/22/2018 10:07,30.39846651,78.07448256,5,846,1.07,200,22,31,
T,12/22/2018 10:07,30.39845865,78.07447846,5,846,1.07,205,22,31,
T,12/22/2018 10:07,30.39845292,78.07447821,5,846,1.05,169,22,31,
T,12/22/2018 10:07,30.3984446,78.07448202,5,846,1.05,168,21,30,
T,12/22/2018 10:07,30.39843572,78.07448519,5,845,1.04,170,21,30,
T,12/22/2018 10:07,30.39842723,78.07448614,5,845,1.04,180,21,30,
T,12/22/2018 10:07,30.3984188,78.07448592,5,845,1.04,179,21,30,
T,12/22/2018 10:07,30.39841108,78.07448429,5,845,1.03,194,21,30,
T,12/22/2018 10:07,30.39840338,78.07448021,5,845,1.03,202,21,30,
T,12/22/2018 10:07,30.39839503,78.07447739,5,845,1.02,187,21,30,
T,12/22/2018 10:07,30.39838496,78.07447601,5,845,1.02,192,21,30,
T,12/22/2018 10:07,30.39837619,78.07447428,5,845,1.02,191,21,30,
T,12/22/2018 10:07,30.39836738,78.07447211,5,845,1.01,190,21,30,
T,12/22/2018 10:07,30.39835846,78.07447047,5,845,1.01,187,21,30,
T,12/22/2018 10:07,30.39835159,78.07447035,5,845,1,184,21,30,
T,12/22/2018 10:07,30.39834595,78.07447414,5,845,1,157,21,30,
T,12/22/2018 10:07,30.398339,78.07447591,5,845,0.99,173,21,30,
T,12/22/2018 10:07,30.39833121,78.07447543,5,845,1,186,21,30,
T,12/22/2018 10:07,30.39832232,78.07447385,5,845,1,185,21,31,
T,12/22/2018 10:07,30.39831268,78.07447079,5,845,1,194,21,31,
T,12/22/2018 10:07,30.3983044,78.07446732,5,846,0.99,192,21,31,
T,12/22/2018 10:07,30.39829557,78.07446688,5,845,0.99,178,20,31,
T,12/22/2018 10:07,30.39828557,78.07446755,5,845,0.99,177,20,31,
T,12/22/2018 10:07,30.39827684,78.07446626,5,846,0.99,190,20,31,
T,12/22/2018 10:07,30.39826993,78.07446686,5,846,0.98,176,20,31,
T,12/22/2018 10:07,30.39826286,78.07446704,5,845,0.98,182,20,31,
T,12/22/2018 10:07,30.39825466,78.07446516,5,845,0.98,190,20,31,
T,12/22/2018 10:07,30.39824594,78.07446255,5,845,0.98,193,20,31,
T,12/22/2018 10:07,30.39823743,78.07445832,5,845,0.99,203,21,31,
T,12/22/2018 10:07,30.39822967,78.07445171,5,845,0.98,223,21,31,
T,12/22/2018 10:07,30.39822339,78.07444204,5,845,0.99,241,20,31,
T,12/22/2018 10:08,30.39821618,78.07443249,5,845,0.99,235,21,31,
T,12/22/2018 10:08,30.39820743,78.07441974,5,845,1,236,21,31,
T,12/22/2018 10:08,30.39820067,78.07440658,5,845,1,243,22,32,
T,12/22/2018 10:08,30.39818901,78.0743949,5,845,1,213,21,32,
T,12/22/2018 10:08,30.39817873,78.07438378,5,845,1.01,207,22,32,
T,12/22/2018 10:08,30.3981691,78.0743746,5,844,1.01,215,22,32,
T,12/22/2018 10:08,30.39816044,78.07436281,5,844,1.01,212,23,32,
T,12/22/2018 10:08,30.39815323,78.07435227,5,845,1.01,216,23,32,
T,12/22/2018 10:08,30.39814818,78.07434144,5,845,1.01,220,23,33,
T,12/22/2018 10:08,30.39814388,78.07433268,5,846,1.01,213,23,33,
T,12/22/2018 10:08,30.39814455,78.07432627,5,846,1.02,258,23,33,
T,12/22/2018 10:08,30.39815458,78.07432169,8,848,0.83,328,23,33,
T,12/22/2018 10:08,30.39816317,78.07432358,6,848,0,,23,33,
T,12/22/2018 10:08,30.39816532,78.07433284,6,848,0,,23,34,
T,12/22/2018 10:08,30.39816901,78.07433492,6,848,0,,23,34,
T,12/22/2018 10:08,30.3981723,78.07433748,6,848,0,,23,34,
T,12/22/2018 10:08,30.39817359,78.07433924,6,849,0,,23,34,
T,12/22/2018 10:08,30.39817424,78.07434013,6,849,0,,23,34,
T,12/22/2018 10:08,30.39817458,78.0743406,6,849,0,,23,34,
T,12/22/2018 10:08,30.39817476,78.07434087,6,849,0,,23,34,
T,12/22/2018 10:08,30.39817462,78.0743413,6,849,0,,23,34,
T,12/22/2018 10:08,30.39817436,78.07434179,8,849,0,,23,34,
T,12/22/2018 10:08,30.39817399,78.07434235,8,849,0,,23,34,
T,12/22/2018 10:08,30.39817353,78.07434295,8,849,0,,23,34,
T,12/22/2018 10:08,30.39817311,78.0743435,8,849,0,,23,34,
T,12/22/2018 10:08,30.39817265,78.074344,8,849,0,,23,34,
T,12/22/2018 10:08,30.39817217,78.07434454,9,849,0,,23,34,
T,12/22/2018 10:08,30.3981718,78.07434498,9,849,0,,23,34,
T,12/22/2018 10:08,30.39817144,78.07434539,9,849,0,,23,34,
T,12/22/2018 10:08,30.39817105,78.07434584,11,849,0,,23,34,
T,12/22/2018 10:08,30.39817071,78.07434629,9,849,0,,23,34,
T,12/22/2018 10:08,30.39817027,78.07434677,8,849,0,,23,34,
T,12/22/2018 10:08,30.39816983,78.07434724,8,849,0,,23,34,
T,12/22/2018 10:08,30.39816944,78.07434767,8,850,0,,23,34,
T,12/22/2018 10:08,30.398169,78.07434816,8,850,0,,22,34,
T,12/22/2018 10:08,30.3981686,78.07434862,8,850,0,,22,34,
T,12/22/2018 10:08,30.39816821,78.0743491,8,850,0,,22,34,
T,12/22/2018 10:08,30.39816783,78.07434951,8,850,0,,22,34,
T,12/22/2018 10:08,30.39816736,78.07435004,8,850,0,,22,34,
T,12/22/2018 10:08,30.39816688,78.07435065,8,850,0,,22,34,
T,12/22/2018 10:08,30.39816651,78.07435112,6,850,0,,22,34,
